#Mapping quality	mapping quality
0.0	195736.0
1.0	6763580.0
2.0	48822.0
3.0	56894.0
4.0	27299.0
5.0	16959.0
6.0	183163.0
7.0	104026.0
8.0	86099.0
9.0	31529.0
10.0	33458.0
11.0	85653.0
12.0	204436.0
13.0	17839.0
14.0	49351.0
15.0	127602.0
16.0	88890.0
17.0	163200.0
18.0	159999.0
19.0	31598.0
20.0	49852.0
21.0	273068.0
22.0	76587.0
23.0	312431.0
24.0	529829.0
25.0	119340.0
26.0	100303.0
27.0	96994.0
28.0	146113.0
29.0	111947.0
30.0	896554.0
31.0	785573.0
32.0	948916.0
33.0	540023.0
34.0	825176.0
35.0	619355.0
36.0	714382.0
37.0	654572.0
38.0	840169.0
39.0	647544.0
40.0	2047246.0
41.0	4424605.0
42.0	1.1823759E8
