#Coverage (X)	Coverage
1.0	5.227383338725744
2.0	2.468767787189961
3.0	1.3328002182163203
4.0	0.7616277417885158
5.0	0.4595515278493849
6.0	0.29172086265522523
7.0	0.19372309764983697
8.0	0.1333181720923733
9.0	0.09463879473535997
10.0	0.0689677497904313
11.0	0.05151526672955242
12.0	0.039295769498309596
13.0	0.03056710642731275
14.0	0.02415229873675173
15.0	0.019370856840637884
16.0	0.01577387848605838
17.0	0.013035006048184528
18.0	0.010940483538021795
19.0	0.009280150587400726
20.0	0.007968482786708364
21.0	0.0069229276170261755
22.0	0.006065115220380335
23.0	0.005383891834213728
24.0	0.004821323935246369
25.0	0.004374733152872068
26.0	0.0039861492737856
27.0	0.003660158549052994
28.0	0.0033765080940213466
29.0	0.0031323360880435303
30.0	0.002924597260417272
31.0	0.0027406702482579703
32.0	0.0025736940199863056
33.0	0.002421210345033842
34.0	0.002283439363452544
35.0	0.0021583264347668774
36.0	0.0020358551866905827
37.0	0.0019115494381907183
38.0	0.001791829940742673
39.0	0.0016714133331419134
40.0	0.001555986566685874
41.0	0.0014389454398582302
42.0	0.0013319206853168453
43.0	0.001235095753116866
44.0	0.0011470397329276238
45.0	0.0010625426435524332
46.0	9.796232245378178E-4
47.0	9.043353272772947E-4
48.0	8.293042600797662E-4
49.0	7.589328239419046E-4
50.0	6.948720692605548E-4
51.0	6.301142044122798E-4
