#Duplication rate	Coverage
1.0	1.6853498E7
2.0	2458474.0
3.0	418358.0
4.0	99432.0
5.0	32323.0
6.0	13755.0
7.0	7422.0
8.0	4510.0
9.0	3054.0
10.0	2121.0
11.0	1618.0
12.0	1319.0
13.0	1120.0
14.0	839.0
15.0	757.0
16.0	643.0
17.0	566.0
18.0	486.0
19.0	457.0
20.0	416.0
21.0	389.0
22.0	325.0
23.0	299.0
24.0	256.0
25.0	256.0
26.0	209.0
27.0	228.0
28.0	203.0
29.0	146.0
30.0	174.0
31.0	155.0
32.0	156.0
33.0	134.0
34.0	115.0
35.0	118.0
36.0	108.0
37.0	102.0
38.0	90.0
39.0	89.0
40.0	82.0
41.0	85.0
42.0	74.0
43.0	79.0
44.0	86.0
45.0	80.0
46.0	55.0
47.0	58.0
48.0	66.0
49.0	54.0
50.0	8200.0
