#Duplication rate	Coverage
1.0	1.4954105E7
2.0	3089244.0
3.0	844949.0
4.0	307799.0
5.0	138701.0
6.0	72941.0
7.0	42740.0
8.0	27202.0
9.0	18333.0
10.0	12806.0
11.0	9593.0
12.0	7012.0
13.0	5469.0
14.0	4279.0
15.0	3359.0
16.0	2797.0
17.0	2339.0
18.0	1899.0
19.0	1606.0
20.0	1452.0
21.0	1207.0
22.0	1015.0
23.0	962.0
24.0	789.0
25.0	731.0
26.0	651.0
27.0	569.0
28.0	499.0
29.0	505.0
30.0	396.0
31.0	375.0
32.0	389.0
33.0	365.0
34.0	310.0
35.0	284.0
36.0	262.0
37.0	250.0
38.0	247.0
39.0	235.0
40.0	227.0
41.0	202.0
42.0	215.0
43.0	180.0
44.0	186.0
45.0	163.0
46.0	157.0
47.0	147.0
48.0	131.0
49.0	162.0
50.0	7801.0
