#Mapping quality	mapping quality
0.0	258872.0
1.0	1.0620743E7
2.0	68449.0
3.0	67498.0
4.0	37732.0
5.0	26391.0
6.0	250386.0
7.0	127261.0
8.0	94888.0
9.0	45842.0
10.0	45202.0
11.0	107221.0
12.0	238101.0
13.0	30585.0
14.0	70016.0
15.0	137868.0
16.0	96969.0
17.0	182683.0
18.0	196802.0
19.0	55956.0
20.0	72012.0
21.0	266050.0
22.0	107524.0
23.0	350491.0
24.0	529703.0
25.0	159179.0
26.0	143809.0
27.0	142141.0
28.0	193277.0
29.0	168091.0
30.0	1134467.0
31.0	960625.0
32.0	1101475.0
33.0	615876.0
34.0	1055056.0
35.0	797691.0
36.0	816631.0
37.0	819466.0
38.0	1050494.0
39.0	1131704.0
40.0	2870078.0
41.0	7913967.0
42.0	1.20784324E8
