#Duplication rate	Coverage
1.0	8392101.0
2.0	1197236.0
3.0	197174.0
4.0	45498.0
5.0	14613.0
6.0	5939.0
7.0	3178.0
8.0	1871.0
9.0	1205.0
10.0	803.0
11.0	609.0
12.0	456.0
13.0	391.0
14.0	284.0
15.0	263.0
16.0	218.0
17.0	198.0
18.0	170.0
19.0	147.0
20.0	146.0
21.0	118.0
22.0	88.0
23.0	107.0
24.0	88.0
25.0	83.0
26.0	84.0
27.0	93.0
28.0	77.0
29.0	50.0
30.0	60.0
31.0	50.0
32.0	59.0
33.0	53.0
34.0	53.0
35.0	33.0
36.0	57.0
37.0	53.0
38.0	33.0
39.0	38.0
40.0	37.0
41.0	39.0
42.0	32.0
43.0	44.0
44.0	31.0
45.0	21.0
46.0	20.0
47.0	25.0
48.0	32.0
49.0	27.0
50.0	6127.0
