#Coverage (X)	Coverage
1.0	6.113486997269604
2.0	3.473642689911401
3.0	2.1746983237163278
4.0	1.4159372089749667
5.0	0.9512852196063335
6.0	0.6594154322069699
7.0	0.4704327203338323
8.0	0.3445890734449506
9.0	0.2583677371292339
10.0	0.1975446555459115
11.0	0.15390772425240584
12.0	0.12208226060661787
13.0	0.09827620547922322
14.0	0.08022505155111048
15.0	0.06639798160134092
16.0	0.055599928675960086
17.0	0.047074675011600675
18.0	0.04026746768109035
19.0	0.03476613112994187
20.0	0.030276081280618428
21.0	0.026554100067372133
22.0	0.023522918332488985
23.0	0.02094049209048876
24.0	0.0187472000776836
25.0	0.016844639691527163
26.0	0.015250238686022044
27.0	0.013873739640473559
28.0	0.012666198083650215
29.0	0.011611910691968319
30.0	0.010700751023094313
31.0	0.009894854988345969
32.0	0.009192204637272994
33.0	0.008558604882026088
34.0	0.007996257123110695
35.0	0.007498226948939646
36.0	0.00704139965421291
37.0	0.006640267792249688
38.0	0.006267020336679252
39.0	0.005928481629069893
40.0	0.005624578289399551
41.0	0.0053505773065865014
42.0	0.005108349871051132
43.0	0.004888246510589056
44.0	0.004683773093717036
45.0	0.00449731447096724
46.0	0.004323844111198127
47.0	0.004160206673688549
48.0	0.004012162489743787
49.0	0.0038717865175641464
50.0	0.0037380881269086785
51.0	0.0036188822895866224
