#Insert size (bp)	insert size
395.0	6566.0
396.0	6233.0
397.0	6148.0
398.0	6354.0
399.0	6060.0
400.0	5932.0
401.0	5826.0
402.0	5730.0
403.0	5644.0
404.0	5742.0
405.0	5670.0
406.0	5285.0
407.0	5478.0
408.0	5150.0
409.0	5244.0
410.0	5044.0
411.0	5089.0
412.0	4979.0
413.0	5039.0
414.0	4832.0
415.0	4656.0
416.0	4710.0
417.0	4560.0
418.0	4500.0
419.0	4497.0
420.0	4404.0
421.0	4374.0
422.0	4375.0
423.0	4173.0
424.0	4220.0
425.0	4087.0
426.0	4182.0
427.0	4027.0
428.0	4026.0
429.0	3977.0
430.0	3964.0
431.0	3957.0
432.0	3743.0
433.0	3973.0
434.0	3693.0
435.0	3732.0
436.0	3639.0
437.0	3493.0
438.0	3470.0
439.0	3594.0
440.0	3341.0
441.0	3265.0
442.0	3097.0
443.0	3303.0
444.0	3127.0
445.0	3010.0
446.0	3111.0
447.0	3018.0
448.0	3023.0
449.0	3042.0
450.0	3013.0
451.0	2936.0
452.0	2812.0
453.0	2805.0
454.0	2755.0
455.0	2675.0
456.0	2673.0
457.0	2620.0
458.0	2534.0
459.0	2590.0
460.0	2652.0
461.0	2534.0
462.0	2433.0
463.0	2513.0
464.0	2410.0
465.0	2378.0
466.0	2345.0
467.0	2264.0
468.0	2272.0
469.0	2153.0
470.0	2252.0
471.0	2194.0
472.0	2210.0
473.0	2247.0
474.0	2163.0
475.0	2076.0
476.0	2032.0
477.0	2055.0
478.0	2045.0
479.0	1986.0
480.0	1954.0
481.0	1858.0
482.0	1825.0
483.0	1814.0
484.0	1766.0
485.0	1670.0
486.0	1753.0
487.0	1694.0
488.0	1715.0
489.0	1614.0
490.0	1652.0
491.0	1611.0
492.0	1629.0
493.0	1572.0
494.0	1514.0
495.0	1538.0
496.0	1598.0
497.0	1541.0
498.0	1540.0
499.0	1522.0
500.0	1450.0
501.0	1428.0
502.0	1377.0
503.0	1355.0
504.0	1383.0
505.0	1317.0
506.0	1307.0
507.0	1321.0
508.0	1262.0
509.0	1343.0
510.0	1261.0
511.0	1191.0
512.0	1218.0
513.0	1149.0
514.0	1123.0
515.0	1195.0
516.0	1133.0
517.0	1096.0
518.0	1152.0
519.0	1071.0
520.0	1042.0
521.0	1051.0
522.0	1046.0
523.0	1016.0
524.0	994.0
525.0	979.0
526.0	988.0
527.0	891.0
528.0	911.0
529.0	983.0
530.0	955.0
531.0	851.0
532.0	879.0
533.0	886.0
534.0	899.0
535.0	893.0
536.0	836.0
537.0	842.0
538.0	785.0
539.0	864.0
540.0	834.0
541.0	808.0
542.0	751.0
