#Coverage (X)	Coverage
1.0	5.233850869958388
2.0	2.5076898689526104
3.0	1.490408826927137
4.0	0.9496679974156024
5.0	0.63819040910127
6.0	0.44828549386672023
7.0	0.3265608874620938
8.0	0.24519980318055445
9.0	0.18869216369652975
10.0	0.1479916438461828
11.0	0.11790649736934711
12.0	0.09521790982812206
13.0	0.07779606292426422
14.0	0.0641657247995937
15.0	0.05334231907839637
16.0	0.04472258864237233
17.0	0.03776799754807314
18.0	0.03211439746202416
19.0	0.027487126981256438
20.0	0.023690444910883457
21.0	0.02054743203036935
22.0	0.017911805276170867
23.0	0.015713633492254075
24.0	0.013840865392936053
25.0	0.012241034266182282
26.0	0.010860059039600856
27.0	0.009661873434922086
28.0	0.008593570460021738
29.0	0.00765382927458802
30.0	0.006813848222023466
31.0	0.006086578875297732
32.0	0.005439550576966212
33.0	0.004867223135761378
34.0	0.004354553648241222
35.0	0.0038971026233696193
36.0	0.0034845234787894697
37.0	0.00311828381482826
38.0	0.0027913024598689162
39.0	0.002495140711971544
40.0	0.0022269734405000463
41.0	0.0019807101040498765
42.0	0.0017562039425769171
43.0	0.0015565369168086818
44.0	0.0013718761044714256
45.0	0.0012024416456313247
46.0	0.0010477932601844486
47.0	9.073805979937788E-4
48.0	7.773878981964799E-4
49.0	6.691156833795731E-4
50.0	5.7474898174803E-4
51.0	4.945813133758747E-4
