gs_name,gene_symbol
WTvsKO_6h_dn,Fam78a
WTvsKO_6h_dn,Dpp4
WTvsKO_6h_dn,Sla2
WTvsKO_6h_dn,Ift80
WTvsKO_6h_dn,S1pr1
WTvsKO_6h_dn,Bend4
WTvsKO_6h_dn,Hsd17b11
WTvsKO_6h_dn,St8sia1
WTvsKO_6h_dn,Zfp773
WTvsKO_6h_dn,Arrdc4
WTvsKO_6h_dn,Art2b
WTvsKO_6h_dn,Kdm4d
WTvsKO_6h_dn,Ipcef1
WTvsKO_6h_dn,Gm26740
WTvsKO_6h_dn,Plxnc1
WTvsKO_6h_dn,Plek
WTvsKO_6h_dn,Rflnb
WTvsKO_6h_dn,Card19
WTvsKO_6h_dn,Susd3
WTvsKO_6h_dn,Slc6a19
WTvsKO_6h_dn,Gm30054
WTvsKO_6h_dn,Colq
WTvsKO_6h_dn,Gm49387
WTvsKO_6h_dn,Serp2
WTvsKO_6h_dn,Rgcc
WTvsKO_6h_dn,Tmem71
WTvsKO_6h_dn,Bcl6
WTvsKO_6h_dn,Runx1
WTvsKO_6h_dn,AC132320.1
WTvsKO_6h_dn,Itm2a
WTvsKO_24h_up,Arid5a
WTvsKO_24h_up,Batf3
WTvsKO_24h_up,Il2ra
WTvsKO_24h_up,Gm37881
WTvsKO_24h_up,Vim
WTvsKO_24h_up,St6galnac4
WTvsKO_24h_up,Nek6
WTvsKO_24h_up,Rragd
WTvsKO_24h_up,Nr4a3
WTvsKO_24h_up,Rnf19b
WTvsKO_24h_up,Zfp683
WTvsKO_24h_up,Epha2
WTvsKO_24h_up,Cdk6
WTvsKO_24h_up,Gpr146
WTvsKO_24h_up,Amz1
WTvsKO_24h_up,Fbln2
WTvsKO_24h_up,Plaur
WTvsKO_24h_up,Lrrc32
WTvsKO_24h_up,Eef2k
WTvsKO_24h_up,Gpt2
WTvsKO_24h_up,Irf8
WTvsKO_24h_up,Gpr83
WTvsKO_24h_up,Sema7a
WTvsKO_24h_up,Cish
WTvsKO_24h_up,6430571L13Rik
WTvsKO_24h_up,Gm49339
WTvsKO_24h_up,Lilr4b
WTvsKO_24h_up,Lilrb4a
WTvsKO_24h_up,Ifng
WTvsKO_24h_up,Gm49751
WTvsKO_24h_up,Osm
WTvsKO_24h_up,Lif
WTvsKO_24h_up,Xbp1
WTvsKO_24h_up,Fam71b
WTvsKO_24h_up,Gm17177
WTvsKO_24h_up,Klf6
WTvsKO_24h_up,Tcrg-C4
WTvsKO_24h_up,Gadd45g
WTvsKO_24h_up,Gcnt4
WTvsKO_24h_up,Gm41333
WTvsKO_24h_up,Soat2
WTvsKO_24h_up,Cd80
WTvsKO_24h_up,Pros1
WTvsKO_24h_up,Pim1
WTvsKO_24h_up,Dlk2
WTvsKO_24h_up,Treml2
WTvsKO_24h_up,Crim1
WTvsKO_24h_up,Rhoq
WTvsKO_24h_up,AC154492.2
WTvsKO_24h_up,Malt1
WTvsKO_24h_up,Fosl1
WTvsKO_24h_up,Klf9
WTvsKO_24h_up,Foxp3
WTvsKO_24h_up,Sh2d1a
WTvsKO_24h_up,Dock10
WTvsKO_24h_up,Bcl2
WTvsKO_24h_up,Gm37053
WTvsKO_24h_up,Atf3
WTvsKO_24h_up,Ptprj
WTvsKO_24h_up,Gm26771
WTvsKO_24h_up,Trim46
WTvsKO_24h_up,Coro2a
WTvsKO_24h_up,Sesn2
WTvsKO_24h_up,Tnfrsf8
WTvsKO_24h_up,Tgfbr3
WTvsKO_24h_up,Gm27019
WTvsKO_24h_up,Lncpint
WTvsKO_24h_up,Gprin3
WTvsKO_24h_up,Il12rb2
WTvsKO_24h_up,Flt3l
WTvsKO_24h_up,Slco3a1
WTvsKO_24h_up,A630091E08Rik
WTvsKO_24h_up,Slc7a5
WTvsKO_24h_up,Izumo1r
WTvsKO_24h_up,Gm17040
WTvsKO_24h_up,Hemk1
WTvsKO_24h_up,Ccr4
WTvsKO_24h_up,Agpat3
WTvsKO_24h_up,Cfap54
WTvsKO_24h_up,Socs2
WTvsKO_24h_up,Slc26a10
WTvsKO_24h_up,Ikzf4
WTvsKO_24h_up,Sfi1
WTvsKO_24h_up,Gm12735
WTvsKO_24h_up,Itk
WTvsKO_24h_up,Tbkbp1
WTvsKO_24h_up,Tex2
WTvsKO_24h_up,Fam20a
WTvsKO_24h_up,Egln3
WTvsKO_24h_up,Gm35330
WTvsKO_24h_up,Nfil3
WTvsKO_24h_up,Kcnk5
WTvsKO_24h_up,Gzmb
WTvsKO_24h_up,Dgkh
WTvsKO_24h_up,Spef2
WTvsKO_24h_up,Maats1
WTvsKO_24h_up,Lta
WTvsKO_24h_up,Mir6974
WTvsKO_24h_up,Zfp608
WTvsKO_24h_up,Setbp1
WTvsKO_24h_up,Cndp2
WTvsKO_24h_dn,Vwa3b
WTvsKO_24h_dn,Inpp4a
WTvsKO_24h_dn,Stat4
WTvsKO_24h_dn,Sp140
WTvsKO_24h_dn,Slamf6
WTvsKO_24h_dn,Ifi209
WTvsKO_24h_dn,Cstad
WTvsKO_24h_dn,Lypd6b
WTvsKO_24h_dn,Pkp4
WTvsKO_24h_dn,Rapgef4
WTvsKO_24h_dn,Gm37004
WTvsKO_24h_dn,Itga4
WTvsKO_24h_dn,Slc28a2
WTvsKO_24h_dn,Tshz2
WTvsKO_24h_dn,Spo11
WTvsKO_24h_dn,Gm43820
WTvsKO_24h_dn,Ctso
WTvsKO_24h_dn,Fcrl1
WTvsKO_24h_dn,Slc9b2
WTvsKO_24h_dn,Mcoln2
