#Duplication rate	Coverage
1.0	1.0672834E7
2.0	1403099.0
3.0	212884.0
4.0	48466.0
5.0	16733.0
6.0	7916.0
7.0	4527.0
8.0	2996.0
9.0	2170.0
10.0	1683.0
11.0	1346.0
12.0	1103.0
13.0	934.0
14.0	783.0
15.0	647.0
16.0	543.0
17.0	527.0
18.0	462.0
19.0	412.0
20.0	358.0
21.0	329.0
22.0	297.0
23.0	288.0
24.0	265.0
25.0	246.0
26.0	208.0
27.0	179.0
28.0	191.0
29.0	190.0
30.0	159.0
31.0	172.0
32.0	128.0
33.0	128.0
34.0	102.0
35.0	99.0
36.0	110.0
37.0	112.0
38.0	92.0
39.0	88.0
40.0	105.0
41.0	95.0
42.0	81.0
43.0	88.0
44.0	86.0
45.0	73.0
46.0	61.0
47.0	82.0
48.0	53.0
49.0	66.0
50.0	8316.0
