#Coverage (X)	Coverage
1.0	8.785607798546991
2.0	4.428666694754824
3.0	2.48691829766085
4.0	1.497510581645173
5.0	0.9566382918334995
6.0	0.643604680262456
7.0	0.45252359342828186
8.0	0.33013834673221254
9.0	0.2481773074331386
10.0	0.19150702114181684
11.0	0.1510437021958495
12.0	0.12141241112306034
13.0	0.09923018238791315
14.0	0.08232419700232185
15.0	0.06914426542090268
16.0	0.058685631763324864
17.0	0.05034170012052641
18.0	0.04356894470791417
19.0	0.038032752648774704
20.0	0.033483998785996505
21.0	0.029677226963315206
22.0	0.026479472590253295
23.0	0.023747277733917826
24.0	0.021442411405544703
25.0	0.01946837888300479
26.0	0.01774816783866129
27.0	0.01626640515897293
28.0	0.014985740415383475
29.0	0.01386731888899817
30.0	0.012900683927398404
31.0	0.012054905853503328
32.0	0.01130786059225386
33.0	0.010638708218849047
34.0	0.010046237963024396
35.0	0.009506784769357068
36.0	0.009035941891426091
37.0	0.008633122289083417
38.0	0.008265708544854533
39.0	0.007929848207865575
40.0	0.007627265708507025
41.0	0.007353888455838842
42.0	0.007095040446500889
43.0	0.006856738841875654
44.0	0.006639093711982014
45.0	0.006448048838180398
46.0	0.006266433296545415
47.0	0.0060970355277163435
48.0	0.005939231801534106
49.0	0.005787848826827258
50.0	0.005649674255153059
51.0	0.0055223599259619505
