#Insert size (bp)	insert size
32.0	1.0
35.0	1.0
37.0	2.0
38.0	1.0
39.0	8.0
40.0	23.0
41.0	127.0
42.0	127.0
43.0	128.0
44.0	122.0
45.0	108.0
46.0	130.0
47.0	121.0
48.0	120.0
49.0	117.0
50.0	114.0
51.0	109.0
52.0	107.0
53.0	114.0
54.0	124.0
55.0	127.0
56.0	110.0
57.0	122.0
58.0	129.0
59.0	132.0
60.0	107.0
61.0	119.0
62.0	98.0
63.0	106.0
64.0	126.0
65.0	112.0
66.0	131.0
67.0	113.0
68.0	124.0
69.0	125.0
70.0	112.0
71.0	118.0
72.0	124.0
73.0	124.0
74.0	120.0
75.0	135.0
76.0	144.0
77.0	156.0
78.0	157.0
79.0	186.0
80.0	178.0
81.0	194.0
82.0	186.0
83.0	249.0
84.0	237.0
85.0	252.0
86.0	310.0
87.0	284.0
88.0	364.0
89.0	365.0
90.0	442.0
91.0	450.0
92.0	500.0
93.0	564.0
94.0	655.0
95.0	742.0
96.0	816.0
97.0	948.0
98.0	1070.0
99.0	1177.0
100.0	1232.0
101.0	1367.0
102.0	1550.0
103.0	1769.0
104.0	1875.0
105.0	2086.0
106.0	2299.0
107.0	2613.0
108.0	2835.0
109.0	2982.0
110.0	3369.0
111.0	3580.0
112.0	3867.0
113.0	4187.0
114.0	4449.0
115.0	4812.0
116.0	5223.0
117.0	5641.0
118.0	6197.0
119.0	6543.0
120.0	6935.0
121.0	7208.0
122.0	7810.0
123.0	8371.0
124.0	8791.0
125.0	9175.0
126.0	9746.0
127.0	10403.0
128.0	10715.0
129.0	11409.0
130.0	11947.0
131.0	12573.0
132.0	13089.0
133.0	13591.0
134.0	13947.0
135.0	14900.0
136.0	15209.0
137.0	16106.0
138.0	16565.0
139.0	17284.0
140.0	17764.0
141.0	18306.0
142.0	19065.0
143.0	19531.0
144.0	20160.0
145.0	20683.0
146.0	21563.0
147.0	21808.0
148.0	22738.0
149.0	23409.0
150.0	23998.0
151.0	24557.0
152.0	24634.0
153.0	25507.0
154.0	25703.0
155.0	26289.0
156.0	26915.0
157.0	27723.0
158.0	28002.0
159.0	28643.0
160.0	29303.0
161.0	29985.0
162.0	30324.0
163.0	30469.0
164.0	31065.0
165.0	30944.0
166.0	31525.0
167.0	31496.0
168.0	32391.0
169.0	33017.0
170.0	33204.0
171.0	33417.0
172.0	33817.0
173.0	34014.0
174.0	34341.0
175.0	34515.0
176.0	34906.0
177.0	34685.0
178.0	35152.0
179.0	35412.0
180.0	35760.0
181.0	35568.0
182.0	35922.0
183.0	36135.0
184.0	36216.0
185.0	36459.0
186.0	36229.0
187.0	36192.0
188.0	36270.0
189.0	36704.0
190.0	36959.0
191.0	36654.0
192.0	36583.0
193.0	36592.0
194.0	36580.0
195.0	36836.0
196.0	36850.0
197.0	36972.0
198.0	36487.0
199.0	36644.0
200.0	36400.0
201.0	36499.0
202.0	36125.0
203.0	36239.0
204.0	36505.0
205.0	36207.0
206.0	35939.0
207.0	35784.0
208.0	35653.0
209.0	35623.0
210.0	34928.0
211.0	35188.0
212.0	34855.0
213.0	35022.0
214.0	34613.0
215.0	34451.0
216.0	34385.0
217.0	34167.0
218.0	33896.0
219.0	33703.0
220.0	33179.0
221.0	33102.0
222.0	32877.0
223.0	32749.0
224.0	32774.0
