#Duplication rate	Coverage
1.0	7049440.0
2.0	1350445.0
3.0	312715.0
4.0	97047.0
5.0	38784.0
6.0	18791.0
7.0	10246.0
8.0	6202.0
9.0	3999.0
10.0	2746.0
11.0	1892.0
12.0	1442.0
13.0	1037.0
14.0	765.0
15.0	624.0
16.0	471.0
17.0	388.0
18.0	325.0
19.0	291.0
20.0	240.0
21.0	213.0
22.0	202.0
23.0	145.0
24.0	145.0
25.0	123.0
26.0	113.0
27.0	85.0
28.0	79.0
29.0	77.0
30.0	86.0
31.0	66.0
32.0	66.0
33.0	51.0
34.0	62.0
35.0	41.0
36.0	40.0
37.0	33.0
38.0	35.0
39.0	32.0
40.0	33.0
41.0	30.0
42.0	28.0
43.0	24.0
44.0	38.0
45.0	24.0
46.0	22.0
47.0	25.0
48.0	21.0
49.0	16.0
50.0	5499.0
