#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	2.219179480578851E-6
11.0	0.0
12.0	2.219179480578851E-6
13.0	4.438358961157702E-6
14.0	1.9972615325209657E-5
15.0	8.876717922315403E-6
16.0	3.5506871689261614E-5
17.0	1.9972615325209657E-5
18.0	2.6630153766946212E-5
19.0	3.7726051169840464E-5
20.0	6.657538441736553E-5
21.0	1.3315076883473105E-4
22.0	1.531233841599407E-4
23.0	2.7073989663061983E-4
24.0	4.660276909215587E-4
25.0	9.36493740804275E-4
26.0	0.00117838430418737
27.0	0.002141508198758591
28.0	0.003142358144499653
29.0	0.00453822203778375
30.0	0.006124935366397627
31.0	0.008457293000486
32.0	0.01048562304573507
33.0	0.01373006344634135
34.0	0.0175759014861845
35.0	0.021885548037468623
36.0	0.026599085254218106
37.0	0.03212706134034002
38.0	0.037983475989587616
39.0	0.044321452586120816
40.0	0.04980060672366999
41.0	0.05403036281365328
42.0	0.05736800875244387
43.0	0.058981352234824695
44.0	0.059431845669382206
45.0	0.058377735416107246
46.0	0.05504008947731666
47.0	0.052459183741403445
48.0	0.04811624949791064
49.0	0.043691205613636416
50.0	0.03886449024337741
51.0	0.036845036916050664
52.0	0.025966619102253133
53.0	0.024550782593643825
54.0	0.021119931116668923
55.0	0.017349545179165458
56.0	0.014020775958297179
57.0	0.01131781535095214
58.0	0.009247320895572071
59.0	0.006852826236027491
60.0	0.0053371266507921365
61.0	0.004098824500629137
62.0	0.0029049059400777155
63.0	0.0024166864543503684
64.0	0.0017021106616039784
65.0	0.0014091789701675703
66.0	0.001025260920027429
67.0	8.76575894828646E-4
68.0	7.434251259939151E-4
69.0	6.613154852124976E-4
70.0	5.037537420913991E-4
71.0	4.527126140380855E-4
72.0	4.061098449459297E-4
73.0	2.97370050397566E-4
74.0	2.929316914364083E-4
75.0	2.5076728130541017E-4
76.0	1.975069737715177E-4
77.0	1.309315893541522E-4
78.0	1.264932303929945E-4
79.0	9.320553818431173E-5
80.0	5.769866649505012E-5
81.0	3.328769220868276E-5
82.0	1.7753435844630807E-5
83.0	1.5534256364051956E-5
84.0	1.1095897402894254E-5
85.0	1.3315076883473104E-5
86.0	6.657538441736553E-6
87.0	4.438358961157702E-6
88.0	0.0
89.0	2.219179480578851E-6
90.0	2.219179480578851E-6
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	2.219179480578851E-6
