#Coverage	Number of genomic locations
0.0	2.542338824E9
1.0	8.9999763E7
2.0	3.6661556E7
3.0	2.1048683E7
4.0	1.2545786E7
5.0	7677903.0
6.0	4816799.0
7.0	3109086.0
8.0	2061836.0
9.0	1404330.0
10.0	977593.0
11.0	692294.0
12.0	501983.0
13.0	369987.0
14.0	275123.0
15.0	209617.0
16.0	162030.0
17.0	124614.0
18.0	96842.0
19.0	75829.0
20.0	60132.0
21.0	48584.0
22.0	39530.0
23.0	32403.0
24.0	26728.0
25.0	22255.0
26.0	18692.0
27.0	15994.0
28.0	13573.0
29.0	11707.0
30.0	10193.0
31.0	8668.0
32.0	7909.0
33.0	7218.0
34.0	6649.0
35.0	6040.0
36.0	5598.0
37.0	5266.0
38.0	4796.0
39.0	4481.0
40.0	4060.0
41.0	3444.0
42.0	2863.0
43.0	2488.0
44.0	1974.0
45.0	1681.0
46.0	1445.0
47.0	1261.0
48.0	962.0
49.0	854.0
50.0	653.0
51.0	585.0
52.0	467.0
53.0	392.0
54.0	382.0
55.0	328.0
56.0	301.0
57.0	280.0
58.0	289.0
59.0	253.0
60.0	213.0
61.0	208.0
62.0	230.0
63.0	186.0
64.0	195.0
65.0	197.0
66.0	158.0
67.0	151.0
68.0	123.0
69.0	132.0
70.0	86.0
71.0	83.0
72.0	99.0
73.0	90.0
74.0	136.0
75.0	138.0
76.0	253.0
77.0	305.0
78.0	455.0
79.0	862.0
80.0	1061.0
81.0	355.0
82.0	85.0
83.0	12.0
