#Mapping quality	mapping quality
0.0	133274.0
1.0	4042044.0
2.0	32081.0
3.0	39811.0
4.0	15056.0
5.0	8837.0
6.0	142228.0
7.0	76011.0
8.0	67064.0
9.0	18398.0
10.0	17449.0
11.0	58753.0
12.0	141084.0
13.0	10970.0
14.0	31021.0
15.0	78835.0
16.0	51064.0
17.0	119052.0
18.0	124008.0
19.0	19430.0
20.0	26586.0
21.0	176664.0
22.0	50427.0
23.0	265867.0
24.0	465996.0
25.0	82571.0
26.0	61518.0
27.0	57332.0
28.0	81592.0
29.0	64899.0
30.0	573832.0
31.0	500162.0
32.0	663387.0
33.0	372771.0
34.0	541728.0
35.0	426925.0
36.0	451347.0
37.0	404379.0
38.0	487609.0
39.0	354706.0
40.0	1664333.0
41.0	2768903.0
42.0	8.3999331E7
