#Coverage	Number of genomic locations
0.0	2.592992675E9
1.0	5.9673488E7
2.0	2.5871746E7
3.0	1.4266837E7
4.0	8807112.0
5.0	5783202.0
6.0	3978193.0
7.0	2836301.0
8.0	2090044.0
9.0	1575034.0
10.0	1215587.0
11.0	957185.0
12.0	762655.0
13.0	617325.0
14.0	506806.0
15.0	420093.0
16.0	353468.0
17.0	300064.0
18.0	256976.0
19.0	221150.0
20.0	191826.0
21.0	166361.0
22.0	145004.0
23.0	127437.0
24.0	113650.0
25.0	102068.0
26.0	90404.0
27.0	80958.0
28.0	73226.0
29.0	65790.0
30.0	60325.0
31.0	54234.0
32.0	48744.0
33.0	44325.0
34.0	40186.0
35.0	37213.0
36.0	34060.0
37.0	30976.0
38.0	28969.0
39.0	26256.0
40.0	24030.0
41.0	22458.0
42.0	20973.0
43.0	19501.0
44.0	18308.0
45.0	16821.0
46.0	15720.0
47.0	15070.0
48.0	14048.0
49.0	12926.0
50.0	12163.0
51.0	11400.0
52.0	11161.0
53.0	10049.0
54.0	9887.0
55.0	9193.0
56.0	8784.0
57.0	8245.0
58.0	7923.0
59.0	7283.0
60.0	7059.0
61.0	6654.0
62.0	6364.0
63.0	6151.0
64.0	5795.0
65.0	5534.0
66.0	5199.0
67.0	4911.0
68.0	4492.0
69.0	4432.0
70.0	4083.0
71.0	3888.0
72.0	3835.0
73.0	3630.0
74.0	3443.0
75.0	3186.0
76.0	3165.0
77.0	2970.0
78.0	2808.0
79.0	2927.0
80.0	2755.0
81.0	2678.0
82.0	2449.0
83.0	2546.0
84.0	2448.0
85.0	2261.0
86.0	2265.0
87.0	2214.0
88.0	2113.0
89.0	2036.0
90.0	1941.0
91.0	1925.0
92.0	1842.0
93.0	1745.0
94.0	1830.0
95.0	1687.0
96.0	1560.0
97.0	1441.0
98.0	1453.0
99.0	1492.0
100.0	1415.0
101.0	1346.0
102.0	1351.0
103.0	1307.0
104.0	1307.0
105.0	1232.0
106.0	1155.0
107.0	1135.0
108.0	1109.0
109.0	1106.0
110.0	1051.0
111.0	1034.0
112.0	1065.0
113.0	956.0
114.0	996.0
115.0	977.0
116.0	901.0
117.0	882.0
118.0	863.0
119.0	850.0
120.0	814.0
121.0	835.0
122.0	870.0
123.0	782.0
124.0	751.0
125.0	721.0
126.0	733.0
127.0	790.0
128.0	703.0
129.0	685.0
130.0	659.0
131.0	660.0
132.0	731.0
133.0	690.0
134.0	656.0
135.0	578.0
136.0	598.0
137.0	597.0
138.0	595.0
139.0	547.0
140.0	572.0
141.0	547.0
142.0	516.0
143.0	525.0
144.0	492.0
145.0	515.0
146.0	477.0
147.0	465.0
148.0	454.0
149.0	444.0
150.0	443.0
151.0	415.0
152.0	454.0
153.0	411.0
154.0	415.0
155.0	385.0
156.0	413.0
157.0	361.0
158.0	425.0
159.0	387.0
160.0	360.0
161.0	360.0
162.0	326.0
163.0	346.0
164.0	347.0
165.0	344.0
166.0	363.0
167.0	314.0
168.0	319.0
169.0	253.0
170.0	329.0
171.0	285.0
172.0	295.0
173.0	299.0
174.0	324.0
175.0	282.0
176.0	291.0
177.0	297.0
178.0	273.0
179.0	292.0
180.0	287.0
181.0	285.0
182.0	294.0
183.0	235.0
184.0	250.0
185.0	270.0
186.0	250.0
187.0	252.0
188.0	286.0
189.0	242.0
190.0	242.0
191.0	218.0
192.0	218.0
193.0	217.0
194.0	215.0
195.0	195.0
196.0	217.0
197.0	210.0
198.0	223.0
199.0	187.0
200.0	200.0
201.0	215.0
202.0	173.0
203.0	162.0
204.0	187.0
205.0	183.0
206.0	167.0
207.0	177.0
208.0	184.0
209.0	163.0
210.0	163.0
211.0	142.0
212.0	141.0
213.0	129.0
214.0	106.0
215.0	124.0
216.0	137.0
217.0	126.0
218.0	139.0
219.0	124.0
220.0	120.0
221.0	131.0
222.0	134.0
223.0	133.0
224.0	119.0
225.0	136.0
226.0	127.0
227.0	128.0
228.0	125.0
229.0	122.0
230.0	157.0
231.0	117.0
232.0	103.0
233.0	119.0
234.0	105.0
235.0	102.0
236.0	103.0
237.0	114.0
238.0	94.0
239.0	118.0
240.0	119.0
241.0	112.0
242.0	138.0
243.0	118.0
244.0	115.0
245.0	107.0
246.0	109.0
247.0	95.0
248.0	95.0
249.0	90.0
250.0	119.0
251.0	96.0
252.0	82.0
253.0	126.0
254.0	93.0
255.0	88.0
256.0	88.0
257.0	75.0
258.0	90.0
259.0	82.0
260.0	86.0
261.0	77.0
262.0	98.0
263.0	72.0
264.0	87.0
265.0	82.0
266.0	79.0
267.0	94.0
268.0	81.0
269.0	92.0
270.0	65.0
271.0	84.0
272.0	77.0
273.0	76.0
274.0	78.0
275.0	77.0
276.0	89.0
277.0	80.0
278.0	85.0
279.0	77.0
280.0	78.0
281.0	82.0
282.0	86.0
283.0	86.0
284.0	79.0
285.0	76.0
286.0	84.0
287.0	62.0
288.0	69.0
289.0	76.0
290.0	72.0
291.0	92.0
292.0	84.0
293.0	67.0
294.0	98.0
295.0	73.0
296.0	67.0
297.0	59.0
298.0	64.0
299.0	61.0
300.0	63.0
301.0	64.0
302.0	55.0
303.0	65.0
304.0	66.0
305.0	56.0
306.0	63.0
307.0	70.0
308.0	63.0
309.0	45.0
310.0	54.0
311.0	58.0
312.0	65.0
313.0	48.0
314.0	50.0
315.0	48.0
316.0	51.0
317.0	59.0
318.0	62.0
319.0	34.0
320.0	52.0
321.0	51.0
322.0	49.0
323.0	45.0
324.0	49.0
325.0	47.0
326.0	41.0
327.0	53.0
328.0	38.0
329.0	40.0
330.0	40.0
331.0	47.0
332.0	47.0
333.0	44.0
334.0	44.0
335.0	31.0
336.0	38.0
337.0	38.0
338.0	36.0
339.0	45.0
340.0	36.0
341.0	44.0
342.0	30.0
343.0	38.0
344.0	31.0
345.0	27.0
346.0	41.0
347.0	24.0
348.0	42.0
349.0	30.0
350.0	45.0
351.0	34.0
352.0	31.0
353.0	24.0
354.0	34.0
355.0	29.0
356.0	22.0
357.0	38.0
358.0	35.0
