#Mapping quality	mapping quality
0.0	198063.0
1.0	7802279.0
2.0	53258.0
3.0	57664.0
4.0	29419.0
5.0	21125.0
6.0	182586.0
7.0	103045.0
8.0	82966.0
9.0	34325.0
10.0	35552.0
11.0	84361.0
12.0	188418.0
13.0	21963.0
14.0	53943.0
15.0	110476.0
16.0	79204.0
17.0	142071.0
18.0	153619.0
19.0	38193.0
20.0	54045.0
21.0	228485.0
22.0	81682.0
23.0	298008.0
24.0	481684.0
25.0	125471.0
26.0	106759.0
27.0	107404.0
28.0	155022.0
29.0	134757.0
30.0	859138.0
31.0	725937.0
32.0	871327.0
33.0	515042.0
34.0	798362.0
35.0	619251.0
36.0	677623.0
37.0	673485.0
38.0	865262.0
39.0	870856.0
40.0	2248028.0
41.0	5728693.0
42.0	1.05846143E8
