#Coverage	Number of genomic locations
0.0	2.491094318E9
1.0	1.31372005E8
2.0	3.8734098E7
3.0	1.9685703E7
4.0	1.2352608E7
5.0	8212844.0
6.0	5640624.0
7.0	3988512.0
8.0	2873545.0
9.0	2121557.0
10.0	1597287.0
11.0	1233517.0
12.0	968508.0
13.0	770272.0
14.0	627887.0
15.0	515334.0
16.0	429479.0
17.0	359626.0
18.0	307139.0
19.0	263324.0
20.0	227010.0
21.0	197918.0
22.0	172735.0
23.0	151753.0
24.0	134203.0
25.0	120865.0
26.0	107596.0
27.0	96631.0
28.0	87438.0
29.0	79548.0
30.0	71720.0
31.0	64906.0
32.0	59026.0
33.0	54505.0
34.0	49133.0
35.0	45343.0
36.0	42339.0
37.0	38423.0
38.0	34904.0
39.0	32321.0
40.0	29709.0
41.0	27025.0
42.0	25234.0
43.0	23297.0
44.0	21589.0
45.0	19876.0
46.0	18567.0
47.0	17025.0
48.0	15662.0
49.0	14547.0
50.0	13649.0
51.0	12682.0
52.0	11738.0
53.0	10808.0
54.0	10114.0
55.0	9538.0
56.0	8987.0
57.0	8499.0
58.0	7698.0
59.0	7615.0
60.0	7005.0
61.0	6534.0
62.0	6183.0
63.0	5940.0
64.0	5549.0
65.0	5284.0
66.0	4874.0
67.0	4666.0
68.0	4533.0
69.0	4322.0
70.0	4099.0
71.0	4129.0
72.0	3832.0
73.0	3729.0
74.0	3365.0
75.0	3500.0
76.0	3108.0
77.0	2977.0
78.0	2843.0
79.0	2844.0
80.0	2719.0
81.0	2575.0
82.0	2437.0
83.0	2362.0
84.0	2297.0
85.0	2271.0
86.0	2181.0
87.0	2093.0
88.0	1957.0
89.0	1970.0
90.0	1792.0
91.0	1819.0
92.0	1778.0
93.0	1683.0
94.0	1571.0
95.0	1563.0
96.0	1577.0
97.0	1490.0
98.0	1429.0
99.0	1350.0
100.0	1277.0
101.0	1262.0
102.0	1171.0
103.0	1201.0
104.0	1190.0
105.0	1090.0
106.0	1015.0
107.0	1037.0
108.0	996.0
109.0	1004.0
110.0	887.0
111.0	921.0
112.0	849.0
113.0	816.0
114.0	777.0
115.0	814.0
116.0	739.0
117.0	685.0
118.0	638.0
119.0	620.0
120.0	634.0
121.0	581.0
122.0	559.0
123.0	622.0
124.0	525.0
125.0	528.0
126.0	550.0
127.0	539.0
128.0	529.0
129.0	466.0
130.0	483.0
131.0	446.0
132.0	481.0
133.0	465.0
134.0	409.0
135.0	457.0
136.0	406.0
137.0	396.0
138.0	385.0
139.0	334.0
140.0	372.0
141.0	343.0
142.0	338.0
143.0	344.0
144.0	356.0
145.0	326.0
146.0	313.0
147.0	292.0
148.0	308.0
149.0	311.0
150.0	291.0
151.0	284.0
152.0	273.0
153.0	292.0
154.0	259.0
155.0	281.0
156.0	304.0
157.0	278.0
158.0	257.0
159.0	249.0
160.0	232.0
161.0	275.0
162.0	202.0
163.0	215.0
164.0	199.0
165.0	194.0
166.0	177.0
167.0	194.0
168.0	184.0
169.0	184.0
170.0	172.0
171.0	149.0
172.0	181.0
173.0	139.0
174.0	147.0
175.0	145.0
176.0	144.0
177.0	153.0
178.0	143.0
179.0	174.0
180.0	148.0
181.0	154.0
182.0	126.0
183.0	132.0
184.0	118.0
185.0	132.0
186.0	141.0
187.0	114.0
188.0	120.0
189.0	115.0
190.0	117.0
191.0	121.0
192.0	140.0
193.0	150.0
194.0	133.0
195.0	115.0
196.0	90.0
197.0	122.0
198.0	112.0
199.0	103.0
200.0	118.0
201.0	98.0
202.0	105.0
203.0	93.0
204.0	92.0
205.0	92.0
206.0	87.0
207.0	83.0
208.0	80.0
209.0	73.0
210.0	74.0
211.0	94.0
212.0	97.0
213.0	68.0
214.0	78.0
215.0	75.0
216.0	73.0
217.0	75.0
218.0	66.0
219.0	62.0
220.0	71.0
221.0	79.0
222.0	77.0
223.0	91.0
224.0	74.0
225.0	80.0
226.0	77.0
227.0	85.0
228.0	66.0
229.0	72.0
230.0	67.0
231.0	68.0
232.0	63.0
233.0	65.0
234.0	85.0
235.0	68.0
236.0	72.0
237.0	66.0
238.0	60.0
239.0	65.0
240.0	64.0
241.0	64.0
242.0	60.0
243.0	72.0
244.0	63.0
245.0	57.0
246.0	60.0
247.0	59.0
248.0	62.0
249.0	58.0
250.0	53.0
251.0	55.0
252.0	42.0
253.0	38.0
254.0	40.0
255.0	59.0
256.0	49.0
257.0	46.0
258.0	44.0
259.0	49.0
260.0	48.0
261.0	63.0
262.0	49.0
263.0	50.0
264.0	49.0
265.0	45.0
266.0	53.0
267.0	35.0
268.0	41.0
269.0	37.0
270.0	46.0
271.0	37.0
272.0	33.0
273.0	49.0
274.0	35.0
275.0	39.0
276.0	40.0
277.0	39.0
278.0	51.0
279.0	41.0
280.0	40.0
281.0	47.0
282.0	36.0
283.0	51.0
284.0	55.0
285.0	46.0
286.0	43.0
287.0	54.0
288.0	46.0
289.0	55.0
290.0	47.0
291.0	44.0
292.0	35.0
293.0	54.0
294.0	56.0
295.0	39.0
296.0	51.0
297.0	55.0
298.0	54.0
299.0	39.0
300.0	50.0
301.0	34.0
302.0	48.0
303.0	44.0
304.0	60.0
305.0	39.0
306.0	40.0
307.0	43.0
308.0	31.0
309.0	37.0
310.0	40.0
311.0	47.0
312.0	43.0
313.0	44.0
314.0	47.0
315.0	35.0
316.0	45.0
317.0	37.0
318.0	39.0
319.0	41.0
320.0	37.0
321.0	46.0
322.0	32.0
323.0	36.0
324.0	36.0
325.0	34.0
326.0	45.0
327.0	45.0
328.0	42.0
329.0	36.0
330.0	36.0
331.0	49.0
332.0	37.0
333.0	41.0
334.0	50.0
335.0	33.0
336.0	34.0
337.0	40.0
338.0	43.0
339.0	45.0
340.0	55.0
341.0	39.0
342.0	39.0
343.0	33.0
344.0	46.0
345.0	32.0
346.0	39.0
347.0	34.0
348.0	23.0
349.0	27.0
350.0	28.0
351.0	30.0
352.0	37.0
353.0	44.0
354.0	36.0
355.0	29.0
356.0	29.0
357.0	34.0
358.0	40.0
359.0	33.0
360.0	30.0
361.0	34.0
362.0	42.0
363.0	22.0
364.0	31.0
365.0	36.0
366.0	41.0
367.0	27.0
368.0	32.0
369.0	30.0
370.0	56.0
371.0	38.0
372.0	31.0
373.0	35.0
374.0	38.0
375.0	57.0
376.0	35.0
377.0	29.0
378.0	35.0
379.0	29.0
380.0	30.0
381.0	27.0
382.0	29.0
383.0	37.0
384.0	39.0
385.0	33.0
386.0	46.0
387.0	37.0
388.0	29.0
389.0	31.0
390.0	29.0
391.0	36.0
392.0	28.0
393.0	39.0
394.0	40.0
395.0	22.0
396.0	36.0
397.0	38.0
398.0	32.0
399.0	37.0
400.0	40.0
401.0	45.0
402.0	35.0
403.0	36.0
404.0	32.0
405.0	33.0
406.0	23.0
407.0	22.0
408.0	35.0
409.0	32.0
410.0	15.0
411.0	28.0
412.0	27.0
413.0	27.0
414.0	26.0
415.0	32.0
416.0	30.0
417.0	34.0
418.0	16.0
419.0	28.0
420.0	23.0
421.0	30.0
422.0	24.0
423.0	32.0
424.0	34.0
425.0	37.0
426.0	29.0
427.0	29.0
428.0	39.0
429.0	32.0
430.0	35.0
431.0	39.0
432.0	48.0
433.0	39.0
434.0	30.0
435.0	31.0
436.0	36.0
437.0	37.0
438.0	43.0
439.0	38.0
440.0	47.0
441.0	23.0
442.0	29.0
443.0	46.0
444.0	34.0
445.0	37.0
446.0	27.0
447.0	36.0
