#Mapping quality	mapping quality
0.0	483340.0
1.0	1.4434649E7
2.0	116069.0
3.0	122191.0
4.0	59726.0
5.0	39664.0
6.0	358039.0
7.0	188797.0
8.0	167131.0
9.0	60728.0
10.0	69928.0
11.0	171746.0
12.0	347155.0
13.0	40874.0
14.0	101148.0
15.0	247675.0
16.0	178611.0
17.0	279228.0
18.0	271998.0
19.0	63073.0
20.0	102160.0
21.0	536188.0
22.0	156037.0
23.0	611780.0
24.0	923985.0
25.0	226231.0
26.0	194768.0
27.0	191635.0
28.0	314741.0
29.0	233398.0
30.0	1807621.0
31.0	1607402.0
32.0	1959163.0
33.0	1033810.0
34.0	1774017.0
35.0	1386706.0
36.0	1484609.0
37.0	1459966.0
38.0	1909338.0
39.0	1776759.0
40.0	3831966.0
41.0	8672306.0
42.0	2.24335518E8
