#Mapping quality	mapping quality
0.0	141417.0
1.0	5287651.0
2.0	32176.0
3.0	28945.0
4.0	11184.0
5.0	6299.0
6.0	139809.0
7.0	74606.0
8.0	49417.0
9.0	10370.0
10.0	9537.0
11.0	51298.0
12.0	142033.0
13.0	6383.0
14.0	16925.0
15.0	54840.0
16.0	32153.0
17.0	103070.0
18.0	98901.0
19.0	8579.0
20.0	14008.0
21.0	110869.0
22.0	30236.0
23.0	224654.0
24.0	344668.0
25.0	46545.0
26.0	32106.0
27.0	25800.0
28.0	28849.0
29.0	28796.0
30.0	735110.0
31.0	639415.0
32.0	758487.0
33.0	150613.0
34.0	754897.0
35.0	428912.0
36.0	251917.0
37.0	216296.0
38.0	219006.0
39.0	116847.0
40.0	998244.0
41.0	788656.0
42.0	5.893199E7
