name,KO_0h_rep1_dupr_F,KO_0h_rep2_dupr_F,KO_0h_rep3_dupr_F,KO_24h_rep1_dupr_F,KO_24h_rep2_dupr_F,KO_24h_rep3_dupr_F,KO_48h_rep1_dupr_F,KO_48h_rep2_dupr_F,KO_48h_rep3_dupr_F,KO_6h_rep1_dupr_F,KO_6h_rep2_dupr_F,WT_0h_rep1_dupr_F,WT_0h_rep2_dupr_F,WT_0h_rep3_dupr_F,WT_24h_rep1_dupr_F,WT_24h_rep2_dupr_F,WT_24h_rep3_dupr_F,WT_48h_rep1_dupr_F,WT_48h_rep2_dupr_F,WT_48h_rep3_dupr_F,WT_6h_rep1_dupr_F,WT_6h_rep2_dupr_F,WT_6h_rep3_dupr_F
ENSMUSE00000098340,83,7,6,26,6,8,52,8,8,93,28,56,11,26,4,4,1,23,11,7,116,8,9
ENSMUSE00000098418,5,4,0,0,0,12,1,0,0,3,1,5,3,0,0,0,1,0,1,0,1,1,4
ENSMUSE00000099322,8,0,0,0,1,1,0,0,2,6,2,1,1,0,0,2,0,2,1,0,12,0,1
ENSMUSE00000099726,7,0,0,2,0,0,5,4,5,2,3,0,0,0,0,1,0,6,1,6,6,0,1
ENSMUSE00000099822,4,4,0,5,5,0,17,6,1,4,3,15,1,0,1,4,3,10,6,5,16,0,1
ENSMUSE00000100732,32,2,0,10,3,2,10,1,2,40,11,13,2,3,2,1,2,5,9,3,45,6,3
ENSMUSE00000100813,31,0,2,7,1,4,19,1,1,36,2,7,1,6,2,3,2,5,1,0,36,1,3
ENSMUSE00000101796,48,86,25,19,22,13,51,44,25,36,2,38,101,40,19,19,18,29,28,21,27,11,31
ENSMUSE00000102087,27,8,13,5,4,4,67,25,79,2,1,11,10,8,0,0,0,24,27,20,0,1,0
ENSMUSE00000102166,2,1,2,0,6,6,6,4,2,0,0,1,3,1,6,3,2,2,5,1,4,3,0
ENSMUSE00000102451,0,0,1,3,0,1,2,0,0,7,5,1,0,6,0,1,0,2,3,4,8,0,1
ENSMUSE00000102616,8,8,11,6,8,14,10,2,1,36,15,9,11,12,2,6,8,7,5,10,28,28,34
ENSMUSE00000102813,3,2,0,2,0,1,2,0,0,14,2,4,0,1,0,0,0,0,1,0,3,1,1
ENSMUSE00000104604,4,1,0,4,0,0,1,0,0,9,0,7,0,2,0,1,0,1,0,0,2,0,1
ENSMUSE00000104993,2,1,0,4,0,0,0,0,0,8,1,0,0,0,2,1,1,2,0,0,7,0,1
