# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_4_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_4_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_4_srt_flt_neg_srt.bam
Xkr4	1	3214482	3671498	-	457017	38
Rp1	1	3999557	4409241	-	409685	29
Sox17	1	4490931	4497354	-	6424	1
Mrpl15	1	4773206	4785739	-	12534	1
Lypla1	1	4807788	4848410	+	40623	490
Gm37988	1	4807892	4886770	+	78879	1489
Tcea1	1	4857814	4897909	+	40096	1471
Rgs20	1	4909576	5070285	-	160710	33
Atp6v1h	1	5070018	5162529	+	92512	1456
Oprk1	1	5588493	5606131	+	17639	0
Npbwr1	1	5913707	5917398	-	3692	0
Rb1cc1	1	6206197	6276648	+	70452	1482
Alkal1	1	6359218	6394731	+	35514	6
St18	1	6487231	6860940	+	373710	145
Pcmtd1	1	7088920	7173628	+	84709	1540
Sntg1	1	8361475	9299878	-	938404	239
Rrs1	1	9545408	9547455	+	2048	73
Adhfe1	1	9547948	9580673	+	32726	188
Vxn	1	9601199	9627143	+	25945	3
Mybl1	1	9667415	9700209	-	32795	2
Vcpip1	1	9718622	9748382	-	29761	2
Sgk3	1	9798107	9900845	+	102739	744
Mcmdc2	1	9908638	9942085	+	33448	20
Tcf24	1	9960163	9967932	-	7770	0
Ppp1r42	1	9968624	10009136	-	40513	4
Cops5	1	10024601	10038149	-	13549	2
Cspp1	1	10038006	10136768	+	98763	2318
Arfgef1	1	10137571	10232670	-	95100	30
Cpa6	1	10324720	10719945	-	395226	60
Prex2	1	10993465	11303681	+	310217	41
A830018L16Rik	1	11414105	11975901	+	561797	75
Sulf1	1	12692277	12861192	+	168916	7
Slco5a1	1	12866549	12992650	-	126102	16
Prdm14	1	13113457	13127163	-	13707	0
Ncoa2	1	13139105	13374083	-	234979	52
Tram1	1	13564698	13589910	-	25213	1
Lactb2	1	13623330	13660546	-	37217	11
Xkr9	1	13668771	13701723	+	32953	10
Eya1	1	14168954	14310235	-	141282	9
Msc	1	14753346	14755990	-	2645	0
Trpa1	1	14872648	14918862	-	46215	3
Kcnb2	1	15287254	15723750	+	436497	35
Terf1	1	15805646	15844052	+	38407	1437
Sbspon	1	15853862	15892722	-	38861	62
4930444P10Rik	1	16065979	16093325	-	27347	2
Rpl7	1	16101295	16104662	-	3368	0
Rdh10	1	16105774	16133734	+	27961	376
Stau2	1	16228674	16520112	-	291439	39
Ube2w	1	16540790	16619489	-	78700	10
Eloc	1	16641725	16657042	-	15318	2
Tmem70	1	16665207	16678275	+	13069	186
Ly96	1	16688433	16709611	+	21179	30
Jph1	1	16964560	17097889	-	133330	13
Gdap1	1	17145362	17164271	+	18910	2
Pi15	1	17601901	17630939	+	29039	2
Crispld1	1	17727045	17766344	+	39300	0
Crisp4	1	18115191	18145902	-	30712	0
Defb18	1	18236473	18237443	-	971	0
Defb41	1	18250980	18265138	-	14159	2
Tfap2d	1	19103022	19166346	+	63325	9
Tfap2b	1	19208914	19238576	+	29663	1
Pkhd1	1	20057779	20618064	-	560286	50
Il17a	1	20730905	20734496	+	3592	0
Il17f	1	20777146	20790617	-	13472	1
Mcm3	1	20802968	20820312	-	17345	5
Paqr8	1	20890606	20939650	+	49045	142
Efhc1	1	20951688	20990841	+	39154	5
Tram2	1	20996299	21079229	-	82931	10
Tmem14a	1	21218575	21230167	+	11593	19
Gsta3	1	21240589	21265661	+	25073	4
Khdc1a	1	21349641	21352200	+	2560	1
Khdc1c	1	21368331	21370845	+	2515	0
Khdc1b	1	21383556	21386373	+	2818	0
Kcnq5	1	21398403	21961942	-	563540	118
Cox5b	1	21501029	36693681	+	15192653	13697
Rims1	1	22286251	22805994	-	519744	24
Ppp1r14bl	1	23100473	23102253	-	1781	0
Ogfrl1	1	23366424	23397541	-	31118	6
B3gat2	1	23761753	23849158	+	87406	9
Smap1	1	23845625	23922317	-	76693	12
Sdhaf4	1	23995939	24005656	-	9718	1
Fam135a	1	24011093	24100333	-	89241	11
Col9a1	1	24177610	24252684	+	75075	8
Col19a1	1	24263994	24587472	-	323479	30
Lmbrd1	1	24678630	24766301	+	87672	1569
Adgrb3	1	25067476	25829707	-	762232	65
4931408C20Rik	1	26681814	26687460	-	5647	0
Gm597	1	28776117	28780252	-	4136	0
Phf3	1	30802339	30873894	-	71556	9
Ptp4a1	1	30940302	30949770	-	9469	0
Gm5698	1	30977243	30977968	-	726	0
4931428L18Rik	1	30997842	31222617	-	224776	23
Lgsn	1	31176401	31204725	+	28325	5
Pih1d3	1	31222838	31224288	+	1451	0
Khdrbs2	1	32172714	32658568	+	485855	59
Gm5415	1	32543686	32547294	-	3609	0
Prim2	1	33453810	33669795	-	215986	62
Rab23	1	33719895	33742564	+	22670	212
Bag2	1	33745484	33757795	-	12312	2
Zfp451	1	33761545	33814570	-	53026	9
Bend6	1	33852052	33907816	-	55765	6
Dst	1	33908225	34308661	+	400437	1346
Ccdc115	1	34436670	34439672	-	3003	1
Imp4	1	34439851	34449356	+	9506	261
Ptpn18	1	34459765	34475733	+	15969	65
Prss39	1	34498410	34503063	+	4654	0
Cfc1	1	34535648	34544313	+	8666	0
Prss40	1	34543968	34560943	-	16976	3
Amer3	1	34579657	34590944	+	11288	1
Arhgef4	1	34678188	34813309	+	135122	125
Fam168b	1	34813219	34843065	-	29847	14
Plekhb2	1	34849976	34879580	+	29605	490
Hs6st1	1	36068400	36106446	+	38047	584
Uggt1	1	36140027	36244305	-	104279	12
Neurl3	1	36264597	36274679	-	10083	3
Arid5a	1	36307733	36324029	+	16297	3124
Kansl3	1	36335730	36369181	-	33452	11
Fer1l5	1	36372291	36422110	+	49820	7
Lman2l	1	36419871	36445271	-	25401	3
Cnnm4	1	36471620	36508764	+	37145	307
Cnnm3	1	36511867	36528237	+	16371	265
Ankrd23	1	36530188	36536521	-	6334	21
Gm42417	1	36530193	36539429	-	9237	25
Ankrd39	1	36537507	36547445	-	9939	2
Sema4c	1	36548639	36558349	-	9711	0
Fam178b	1	36562692	36683183	-	120492	32
Actr1b	1	36698114	36714422	-	16309	7
4933424G06Rik	1	36710149	36757953	+	47805	15
Zap70	1	36761798	36782818	+	21021	1571
Tmem131	1	36792191	36943666	-	151476	44
Vwa3b	1	37026596	37187607	+	161012	33
Cnga3	1	37214434	37263384	+	48951	5
Inpp4a	1	37299891	37410736	+	110846	1461
Coa5	1	37417084	37430103	-	13020	41
Unc50	1	37430139	37439124	+	8986	166
Mgat4a	1	37439340	37541016	-	101677	31
2010300C02Rik	1	37611677	37720085	-	108409	21
Tsga10	1	37754776	37866429	-	111654	23
Lipt1	1	37871738	37876228	+	4491	15
Mitd1	1	37874801	37890411	-	15611	25
Mrpl30	1	37890477	37898535	+	8059	120
Lyg2	1	37905923	37916493	-	10571	1
Lyg1	1	37946736	37957759	-	11024	1
Txndc9	1	37985189	37997893	-	12705	4
Eif5b	1	37998010	38055579	+	57570	1765
Rev1	1	38052786	38129801	-	77016	132
Aff3	1	38177326	38664955	-	487630	94
Lonrf2	1	38793645	38836711	-	43067	1
Chst10	1	38863867	38898161	-	34295	5
Nms	1	38939149	38950276	+	11128	1
Pdcl3	1	38985608	38997238	+	11631	60
Npas2	1	39193731	39363236	+	169506	742
Rpl31	1	39367842	39371911	+	4070	465
Tbc1d8	1	39371492	39478755	-	107264	320
Cnot11	1	39534992	39546889	+	11898	163
Rnf149	1	39551296	39577405	-	26110	4
Creg2	1	39618406	39651474	-	33069	3
Rfx8	1	39665301	39720997	-	55697	5
Gm3646	1	39804148	39805332	-	1185	0
Map4k4	1	39900913	40026310	+	125398	5752
Il1r2	1	40074079	40125231	+	51153	9
Il1r1	1	40225080	40317257	+	92178	14
Il1rl2	1	40324627	40367562	+	42936	132
Il1rl1	1	40429570	40465415	+	35846	25
Il18r1	1	40465552	40500854	+	35303	979
Il18rap	1	40515362	40551705	+	36344	332
Slc9a4	1	40580081	40630725	+	50645	3
Slc9a2	1	40680574	40769273	+	88700	23
Mfsd9	1	40772038	40790687	-	18650	0
Tmem182	1	40805601	40856887	+	51287	6
Pou3f3	1	42694925	42703176	+	8252	0
Mrps9	1	42851233	42905683	+	54451	1607
Gpr45	1	42952963	43035456	+	82494	8
Tgfbrap1	1	43047200	43098622	-	51423	6
AI597479	1	43098710	43115947	+	17238	199
Fhl2	1	43123074	43196984	-	73911	48
Nck2	1	43444579	43570515	+	125937	2936
Ecrg4	1	43730602	43742578	+	11977	1
Uxs1	1	43746966	43827800	-	80835	10
Tpp2	1	43934007	44003000	+	68994	4084
Mettl21c	1	44009408	44020006	-	10599	204
Gm8251	1	44055872	44079746	-	23875	7
Tex30	1	44086613	44102441	-	15829	3
Poglut2	1	44106546	44118808	-	12263	3
Bivm	1	44118957	44144770	+	25814	161
Ercc5	1	44147847	44181260	+	33414	336
Mettl21e	1	44204070	44218961	-	14892	15
Gulp1	1	44551511	44796838	+	245328	39
Col3a1	1	45311538	45349706	+	38169	2
Col5a2	1	45374321	45503282	-	128962	12
Wdr75	1	45795166	45823619	+	28454	959
Gm5269	1	45889941	45890078	-	138	0
Slc40a1	1	45908068	45926519	-	18452	3
Dnah7b	1	46066738	46373550	+	306813	29
Dnah7c	1	46425592	46807476	+	381885	73
Slc39a10	1	46807544	46892852	-	85309	15
Hspe1	1	47112139	55091307	+	7979169	14625
Tmeff2	1	50909962	51187270	+	277309	30
Cavin2	1	51289126	51302960	+	13835	0
Nabp1	1	51465862	51478425	-	12564	6
Myo1b	1	51749765	51916071	-	166307	25
Stat4	1	51987148	52107189	+	120042	4908
Stat1	1	52119440	52161865	+	42426	5751
Gls	1	52163448	52233232	-	69785	743
Nab1	1	52457294	52500679	-	43386	6
Nemp2	1	52630703	52651919	+	21217	351
Mfsd6	1	52656286	52727462	-	71177	22
Inpp1	1	52785427	52817688	-	32262	6
Hibch	1	52845013	52920986	+	75974	462
1700019D03Rik	1	52922324	53020179	-	97856	39
Mstn	1	53061640	53068079	+	6440	1
1700019A02Rik	1	53158577	53187636	-	29060	5
Pms1	1	53189187	53297018	-	107832	15
Ormdl1	1	53297095	53310309	+	13215	126
Gm28778	1	53297111	53318035	+	20925	197
Osgepl1	1	53313624	53326343	+	12720	107
Gm28551	1	53325507	53352667	-	27161	5
Asnsd1	1	53344617	53352752	-	8136	2
Gm50478	1	53348479	53352619	-	4141	2
Dnah7a	1	53397006	53706761	-	309756	43
Stk17b	1	53755506	53785224	-	29719	5
Hecw2	1	53806876	54195034	-	388159	88
Ccdc150	1	54250683	54368727	+	118045	72
Gtf3c3	1	54396004	54438971	-	42968	4
Gm34066	1	54443404	54456763	-	13360	2
Pgap1	1	54472994	54557682	-	84689	10
Ankrd44	1	54645340	54926387	-	281048	87
Sf3b1	1	54985169	55027481	-	42313	13
Coq10b	1	55052770	55072702	+	19933	154
Hspd1	1	55077835	55088243	-	10409	8
Mob4	1	55131231	55154899	+	23669	477
Rftn2	1	55170159	55226782	-	56624	34
Mars2	1	55237177	55248470	+	11294	192
Boll	1	55248658	55363469	-	114812	189
Plcl1	1	55405921	55754285	+	348365	3420
Hsfy2	1	56636044	56637435	-	1392	0
Satb2	1	56793981	56978650	-	184670	16
1700066M21Rik	1	57377620	57385423	+	7804	58
Tyw5	1	57388237	57407101	-	18865	21
Maip1	1	57406328	57417953	+	11626	116
Spats2l	1	57774162	57948394	+	174233	11
Kctd18	1	57955101	58018956	-	63856	481
Sgo2a	1	57995971	58025899	+	29929	547
Aox1	1	58029931	58106413	+	76483	15
Aox3	1	58113136	58200698	+	87563	3
Aox4	1	58210397	58268597	+	58201	1
Aox2	1	58278326	58380259	+	101934	15
Bzw1	1	58392898	58407353	+	14456	645
Clk1	1	58412000	58424066	-	12067	7
Ppil3	1	58430994	58445486	-	14493	5
Nif3l1	1	58445151	58481816	+	36666	135
Orc2	1	58462771	58505109	-	42339	8
Fam126b	1	58522806	58586323	-	63518	43
Ndufb3	1	58586384	58595964	+	9581	92
Flacc1	1	58646903	58695989	-	49087	161
Cflar	1	58711551	58758884	+	47334	1881
Casp8	1	58795374	58847503	+	52130	3748
Trak2	1	58900449	58973430	-	72982	9
Stradb	1	58973522	58995715	+	22194	82
C2cd6	1	58997116	59094900	-	97785	10
Tmem237	1	59100590	59120408	-	19819	2
Mpp4	1	59120935	59163389	-	42455	10
Als2	1	59162926	59237231	-	74306	15
Cdk15	1	59256906	59352993	+	96088	33
Fzd7	1	59482424	59486955	+	4532	88
Gm973	1	59516264	59636417	+	120154	24
Sumo1	1	59639434	59670834	-	31401	6
Nop58	1	59684977	59719044	+	34068	2921
Bmpr2	1	59763400	59879014	+	115615	552
Fam117b	1	59913006	59985346	+	72341	1770
Ica1l	1	59989068	60043122	-	54055	214
Wdr12	1	60069785	60098645	-	28861	6
Carf	1	60098247	60153953	+	55707	259
Nbeal1	1	60180599	60338328	+	157730	1252
Cyp20a1	1	60343323	60388060	+	44738	415
Abi2	1	60409619	60481158	+	71540	1196
Raph1	1	60482292	60567104	-	84813	168
Cd28	1	60746358	60773359	+	27002	1645
Ctla4	1	60909025	60915832	+	6808	1904
Icos	1	60977927	61000320	+	22394	1306
Pard3b	1	61638824	62642284	+	1003461	104
Nrp2	1	62703285	62818695	+	115411	15
Ino80d	1	62958418	63114667	-	156250	31
Ndufs1	1	63143596	63176833	-	33238	25
Eef1b2	1	63176825	63180486	+	3662	384
Gpr1	1	63182691	63214543	-	31853	26
Zdbf2	1	63273265	63314576	+	41312	2
Adam23	1	63445895	63596276	+	150382	6
Gm39653	1	63615968	63620819	+	4852	1
Dytn	1	63622851	63686927	-	64077	9
Mdh1b	1	63698819	63730318	-	31500	0
Fastkd2	1	63730614	63754655	+	24042	273
4933402D24Rik	1	63754907	63769267	-	14361	5
Klf7	1	64029447	64122282	-	92836	18
Creb1	1	64532645	64604548	+	71904	3566
Mettl21a	1	64606473	64617242	-	10770	38
Ccnyl1	1	64690455	64725644	+	35190	237
Fzd5	1	64730558	64737751	-	7194	0
Plekhm3	1	64785983	64956824	-	170842	13
Akr1cl	1	65012689	65032759	-	20071	1
Cryge	1	65048554	65051149	-	2596	0
Crygd	1	65061872	65063452	-	1581	0
Crygc	1	65071525	65073689	-	2165	0
Crygb	1	65080219	65082288	-	2070	0
Cryga	1	65100389	65103373	-	2985	0
Gm28845	1	65100619	65119558	-	18940	1
D630023F18Rik	1	65105285	65123214	-	17930	2
Idh1	1	65158616	65186500	-	27885	4
Pikfyve	1	65186689	65278695	+	92007	1731
Pth2r	1	65282056	65389244	+	107189	23
Crygf	1	65926520	65928307	+	1788	0
Map2	1	66175273	66442583	+	267311	46
Unc80	1	66468367	66699148	+	230782	41
Rpe	1	66700831	66719805	+	18975	765
Kansl1l	1	66719248	66817562	-	98315	2439
Acadl	1	66830839	66863277	-	32439	11
Myl1	1	66924295	66945384	-	21090	5
Lancl1	1	67000517	67038872	-	38356	4
Cps1	1	67123026	67231259	+	108234	5
Erbb4	1	68032186	69108059	-	1075874	94
Ikzf2	1	69531214	69687245	-	156032	27
Spag16	1	69826988	70725132	+	898145	76
Vwc2l	1	70725715	70885397	+	159683	14
Bard1	1	71027498	71103146	-	75649	17
Abca12	1	71242276	71414910	-	172635	16
Atic	1	71557150	71579631	+	22482	618
Fn1	1	71585520	71653200	-	67681	7
Mreg	1	72159442	72212307	-	52866	2
Pecr	1	72259167	72284314	-	25148	6
Tmem169	1	72284369	72303104	+	18736	8
Xrcc5	1	72307427	72394952	+	87526	1312
Marchf4	1	72427112	72536930	-	109819	7
Smarcal1	1	72583251	72633134	+	49884	552
Ankar	1	72642980	72700579	-	57600	6
Rpl37a	1	72711290	72713813	+	2524	192
Igfbp2	1	72824503	72852474	+	27972	2
Igfbp5	1	72857932	72874884	-	16953	0
Tnp1	1	73015074	73015909	-	836	0
Tns1	1	73910231	74124449	-	214219	19
Rufy4	1	74125541	74148223	+	22683	9
Cxcr2	1	74153989	74161246	+	7258	0
Cxcr1	1	74191785	74194631	-	2847	0
Arpc2	1	74236084	74268209	+	32126	2231
Gpbar1	1	74278550	74279624	+	1075	0
Aamp	1	74279840	74284738	-	4899	1
Pnkd	1	74284930	74353694	+	68765	197
Tmbim1	1	74288247	74305622	-	17376	103
Catip	1	74362108	74369321	+	7214	1
Slc11a1	1	74375195	74386062	+	10868	0
Ctdsp1	1	74391509	74397285	+	5777	119
Vil1	1	74409376	74435559	+	26184	4
Usp37	1	74435511	74544284	-	108774	1005
Cnot9	1	74506058	74530842	+	24785	867
Plcd4	1	74542888	74567794	+	24907	9
Zfp142	1	74565127	74588246	-	23120	8
Bcs1l	1	74588289	74592443	+	4155	51
Rnf25	1	74593748	74601397	-	7650	13
Stk36	1	74601445	74636894	+	35450	19
Ttll4	1	74661745	74703730	+	41986	2961
Cyp27a1	1	74713574	74737892	+	24319	1
Prkag3	1	74738922	74749221	-	10300	1
