# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_18_pos_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_18_srt_flt_pos_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_18_srt_flt_pos_srt.bam
Xkr4	1	3214482	3671498	-	457017	28
Rp1	1	3999557	4409241	-	409685	44
Sox17	1	4490931	4497354	-	6424	0
Mrpl15	1	4773206	4785739	-	12534	442
Lypla1	1	4807788	4848410	+	40623	2
Gm37988	1	4807892	4886770	+	78879	12
Tcea1	1	4857814	4897909	+	40096	6
Rgs20	1	4909576	5070285	-	160710	17
Atp6v1h	1	5070018	5162529	+	92512	6
Oprk1	1	5588493	5606131	+	17639	1
Npbwr1	1	5913707	5917398	-	3692	0
Rb1cc1	1	6206197	6276648	+	70452	77
Alkal1	1	6359218	6394731	+	35514	2
St18	1	6487231	6860940	+	373710	34
Pcmtd1	1	7088920	7173628	+	84709	8
Sntg1	1	8361475	9299878	-	938404	93
Rrs1	1	9545408	9547455	+	2048	0
Adhfe1	1	9547948	9580673	+	32726	3
Vxn	1	9601199	9627143	+	25945	1
Mybl1	1	9667415	9700209	-	32795	8
Vcpip1	1	9718622	9748382	-	29761	436
Sgk3	1	9798107	9900845	+	102739	8
Mcmdc2	1	9908638	9942085	+	33448	281
Tcf24	1	9960163	9967932	-	7770	0
Ppp1r42	1	9968624	10009136	-	40513	8
Cops5	1	10024601	10038149	-	13549	305
Cspp1	1	10038006	10136768	+	98763	168
Arfgef1	1	10137571	10232670	-	95100	3260
Cpa6	1	10324720	10719945	-	395226	34
Prex2	1	10993465	11303681	+	310217	28
A830018L16Rik	1	11414105	11975901	+	561797	63
Sulf1	1	12692277	12861192	+	168916	12
Slco5a1	1	12866549	12992650	-	126102	14
Prdm14	1	13113457	13127163	-	13707	3
Ncoa2	1	13139105	13374083	-	234979	5588
Tram1	1	13564698	13589910	-	25213	220
Lactb2	1	13623330	13660546	-	37217	423
Xkr9	1	13668771	13701723	+	32953	4
Eya1	1	14168954	14310235	-	141282	14
Msc	1	14753346	14755990	-	2645	0
Trpa1	1	14872648	14918862	-	46215	4
Kcnb2	1	15287254	15723750	+	436497	39
Terf1	1	15805646	15844052	+	38407	2
Sbspon	1	15853862	15892722	-	38861	10
4930444P10Rik	1	16065979	16093325	-	27347	8
Rpl7	1	16101295	16104662	-	3368	448
Rdh10	1	16105774	16133734	+	27961	4
Stau2	1	16228674	16520112	-	291439	73
Ube2w	1	16540790	16619489	-	78700	1353
Eloc	1	16641725	16657042	-	15318	355
