# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_2_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_2_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_2_srt_flt_neg_srt.bam
Grb7	11	98446394	98455373	+	8980	4
Ikzf3	11	98464902	98545800	-	80899	70
Zpbp2	11	98551097	98558665	+	7569	17
Ormdl3	11	98581256	98587368	-	6113	0
Lrrc3c	11	98598291	98599586	+	1296	1
Gsdma3	11	98626360	98638226	+	11867	10
Gsdma2	11	98646759	98657964	+	11206	8
Gsdma	11	98664351	98677708	+	13358	9
Psmd3	11	98682554	98695979	+	13426	636
Csf3	11	98701263	98703629	+	2367	2
Med24	11	98704591	98729435	-	24845	13
Thra	11	98741811	98769006	+	27196	53
Nr1d1	11	98767932	98775333	-	7402	13
Msl1	11	98795516	98807859	+	12344	425
Casc3	11	98804905	98833814	+	28910	1483
Rapgefl1	11	98836785	98853697	+	16913	16
Wipf2	11	98863638	98905040	+	41403	1257
Cdc6	11	98907801	98923940	+	16140	19
Rara	11	98927818	98974942	+	47125	3268
Gjd3	11	98982180	98983016	-	837	0
Top2a	11	98992943	99024189	-	31247	17
Igfbp4	11	99041244	99054392	+	13149	19
Tns4	11	99065678	99089306	-	23629	11
Ccr7	11	99144196	99155077	-	10882	17
Smarce1	11	99209047	99231017	-	21971	18
Krt222	11	99232761	99244085	-	11325	12
Krt24	11	99279959	99285262	-	5304	3
Krt25	11	99315516	99322951	-	7436	2
Krt26	11	99328614	99337966	-	9353	5
Krt27	11	99345565	99351104	-	5540	3
Krt28	11	99364872	99374903	-	10032	7
Krt10	11	99385254	99389364	-	4111	17
Krt12	11	99415666	99422259	-	6594	4
Krt20	11	99428403	99438150	-	9748	9
Krt23	11	99477974	99493137	-	15164	7
Krt39	11	99514114	99521338	-	7225	3
Krt40	11	99537485	99543158	-	5674	1
Krtap3	11	99550130	99566630	-	16501	18
Gm11939	11	99559167	99559466	-	300	1
Krtap1	11	99579976	99591339	-	11364	8
Krtap9	11	99597347	99949551	-	352205	305
Gm11938	11	99602646	99603308	-	663	0
Gm11937	11	99609794	99610189	-	396	0
Krtap2	11	99614019	99614846	-	828	0
Gm11562	11	99619619	99620435	-	817	0
Krtap4	11	99627224	99851608	-	224385	155
Gm11555	11	99649599	99650236	-	638	0
Gm11563	11	99657949	99658960	-	1012	0
Gm14190	11	99690588	99690740	-	153	0
Gm14180	11	99734213	99734290	-	78	0
Gm11595	11	99771714	99772913	-	1200	0
Gm11596	11	99792389	99793467	-	1079	0
Gm11569	11	99798064	99798932	-	869	0
Gm11554	11	99803557	99804446	-	890	0
Gm11564	11	99814976	99815666	-	691	1
2300003K06Rik	11	99836802	99838066	-	1265	1
Gm11568	11	99857917	99859061	+	1145	1
Gm11559	11	99864476	99865571	+	1096	0
Gm11567	11	99879187	99880229	+	1043	1
Krtap31	11	99907920	99937225	+	29306	78
Gm11565	11	99914751	99915671	+	921	0
Krtap29	11	99978025	99979053	-	1029	0
Krtap17	11	99993234	99993994	-	761	0
Krt33a	11	100011195	100016212	-	5018	1
Krt33b	11	100023634	100029868	-	6235	0
Krt34	11	100037347	100041554	-	4208	1
Krt31	11	100046646	100050551	-	3906	1
Krt32	11	100080857	100088226	-	7370	6
Krt35	11	100092193	100096225	-	4033	4
Krt36	11	100102007	100105626	-	3620	2
Krt13	11	100117327	100121566	-	4240	2
Krt15	11	100131758	100135928	-	4171	0
Krt19	11	100140810	100146120	-	5311	1
Krt9	11	100186781	100193246	-	6466	3
Krt14	11	100203162	100207548	-	4387	2
Krt16	11	100246091	100248902	-	2812	3
Krt17	11	100256217	100261029	-	4813	1
Krt42	11	100262887	100269871	-	6985	3
Eif1	11	100319885	100322096	+	2212	619
Gast	11	100334407	100336996	+	2590	0
Hap1	11	100347327	100356128	-	8802	4
Jup	11	100370619	100397749	-	27131	14
P3h4	11	100408456	100414836	-	6381	1
Fkbp10	11	100415697	100424824	+	9128	10
Nt5c3b	11	100422321	100441808	-	19488	16
Klhl10	11	100441917	100457022	+	15106	16
Klhl11	11	100462614	100472741	-	10128	7
Acly	11	100476353	100528000	-	51648	42
Ttc25	11	100545607	100572568	+	26962	25
Cnp	11	100574904	100581728	+	6825	23
Dnajc7	11	100582818	100620188	-	37371	32
Nkiras2	11	100619244	100627607	+	8364	95
Zfp385c	11	100627543	100692455	-	64913	46
Dhx58	11	100694884	100704271	-	9388	2
Kat2a	11	100704746	100712465	-	7720	4
Hspb9	11	100713850	100714575	+	726	0
Rab5c	11	100715009	100738215	-	23207	17
Kcnh4	11	100740376	100759942	-	19567	17
Hcrt	11	100761069	100762931	-	1863	5
Ghdc	11	100766032	100770957	-	4926	5
Stat5b	11	100780731	100850724	-	69994	61
Stat5a	11	100859351	100885169	+	25819	7271
Stat3	11	100885098	100939540	-	54443	185
Cavin1	11	100956733	100970887	-	14155	7
Atp6v0a1	11	101009452	101063719	+	54268	51
Naglu	11	101070012	101077672	+	7661	30
Hsd17b1	11	101078411	101080527	+	2117	1
Coasy	11	101082565	101086619	+	4055	48
Mlx	11	101087277	101092207	+	4931	74
Psmc3ip	11	101091823	101095436	-	3614	33
Retreg3	11	101096322	101119893	-	23572	21
Tubg1	11	101119938	101126419	+	6482	53
Tubg2	11	101155907	101161787	+	5881	12
Plekhh3	11	101162679	101171351	-	8673	4
Ccr10	11	101172997	101175443	-	2447	2
Cntnap1	11	101176041	101190724	+	14684	13
Ezh1	11	101191115	101226463	-	35349	25
Ramp2	11	101246028	101259546	+	13519	128
Vps25	11	101253707	101259549	+	5843	117
Wnk4	11	101260567	101277409	+	16843	24
Coa3	11	101277968	101279114	-	1147	0
Cntd1	11	101279096	101288701	+	9606	10
Becn1	11	101285952	101302286	-	16335	10
Psme3	11	101316213	101323537	+	7325	1210
Aoc2	11	101325063	101329702	+	4640	734
Aoc3	11	101330605	101341938	+	11334	100
G6pc	11	101367561	101377903	+	10343	9
Gm27029	11	101406664	101424796	-	18133	10
Aarsd1	11	101406839	101417615	-	10777	6
Ptges3l	11	101418812	101425333	-	6522	14
Rundc1	11	101425085	101435673	+	10589	233
Rpl27	11	101442298	101445529	+	3232	425
Ifi35	11	101448407	101458698	+	10292	207
Vat1	11	101458745	101466230	-	7486	65
Rnd2	11	101468175	101471853	+	3679	4
Brca1	11	101488764	101551955	-	63192	53
Nbr1	11	101552149	101581951	+	29803	486
Tmem106a	11	101582242	101591788	+	9547	41
Gm11634	11	101593743	101599256	-	5514	8
Rdm1	11	101627942	101636100	+	8159	29
Arl4d	11	101665541	101667832	+	2292	2
Dhx8	11	101732950	101767358	+	34409	813
Etv4	11	101769742	101785371	-	15630	35
Meox1	11	101877510	101894374	-	16865	4
Sost	11	101962458	101967015	-	4558	3
Dusp3	11	101971143	101987013	-	15871	11
Cfap97d1	11	101984279	101992264	+	7986	9
Mpp3	11	101999652	102028461	-	28810	17
Cd300lg	11	102041509	102055620	+	14112	10
Mpp2	11	102057015	102088515	-	31501	18
Ppy	11	102099930	102101319	-	1390	3
Pyy	11	102106676	102107832	-	1157	0
Nags	11	102145549	102149477	+	3929	1
Tmem101	11	102152546	102156404	-	3859	5
Lsm12	11	102162497	102185296	-	22800	22
G6pc3	11	102189620	102194081	+	4462	109
Hdac5	11	102194432	102230166	-	35735	99
Hrob	11	102248882	102265187	+	16306	10
Asb16	11	102268743	102279462	+	10720	6
Tmub2	11	102284931	102289237	+	4307	116
Atxn7l3	11	102289300	102296631	-	7332	14
Ubtf	11	102304560	102319742	-	15183	931
Slc4a1	11	102348824	102365280	-	16457	10
Rundc3a	11	102393403	102402555	+	9153	3
Slc25a39	11	102402985	102407946	-	4962	11
Grn	11	102430315	102437048	+	6734	8
Fam171a2	11	102436981	102447682	-	10702	5
Itga2b	11	102453297	102469883	-	16587	5
Gpatch8	11	102475915	102556199	-	80285	60
Gm11627	11	102576398	102579461	-	3064	2
Fzd2	11	102604396	102608058	+	3663	2
Meioc	11	102663716	102682237	+	18522	11
Ccdc43	11	102684686	102697782	-	13097	5
Adam11	11	102761439	102780262	+	18824	9
Gjc1	11	102799579	102819700	-	20122	10
Higd1b	11	102835849	102838040	+	2192	0
Eftud2	11	102838473	102880985	-	42513	30
Ccdc103	11	102881204	102885216	+	4013	1
Fam187a	11	102885169	102886731	+	1563	0
Gfap	11	102887336	102897200	-	9865	4
Kif18b	11	102905529	102925124	-	19596	9
C1ql1	11	102939264	102946688	-	7425	1
Dcakd	11	102994047	103028304	-	34258	21
Nmt1	11	103028346	103068912	+	40567	1590
Plcd3	11	103070304	103101658	-	31355	112
Acbd4	11	103101682	103112200	+	10519	89
Hexim1	11	103116231	103119725	+	3495	125
Hexim2	11	103132429	103139876	+	7448	27
Fmnl1	11	103171107	103198901	+	27795	1766
Efcab15	11	103198944	103208558	-	9615	31
Spata32	11	103208127	103218432	-	10306	8
Map3k14	11	103219762	103267472	-	47711	38
Arhgap27	11	103331497	103363464	-	31968	212
Plekhm1	11	103364275	103412687	-	48413	41
Lrrc37a	11	103450709	103504597	-	53889	28
Gm884	11	103534577	103621140	-	86564	58
Lyzl6	11	103631070	103638890	-	7821	4
Rprml	11	103649570	103650579	+	1010	0
Gosr2	11	103676849	103697898	-	21050	21
Wnt9b	11	103727364	103749821	-	22458	14
Wnt3	11	103774150	103817957	+	43808	168
Nsf	11	103821782	103954056	-	132275	107
Arf2	11	103966739	103985337	+	18599	84
Crhr1	11	104132855	104175523	+	42669	16
Sppl2c	11	104186327	104191163	+	4837	2
Mapt	11	104231390	104332090	+	100701	48
Kansl1	11	104333229	104468861	-	135633	161
Cdc27	11	104502745	104550483	-	47739	43
Myl4	11	104550663	104595753	+	45091	39
Itgb3	11	104608000	104670476	+	62477	53
Gm11639	11	104685707	105117394	+	431688	300
Efcab3	11	105063592	105117537	+	53946	38
Mettl2	11	105126425	105140394	+	13970	701
Tlk2	11	105178807	105283959	+	105153	1954
Mrc2	11	105292646	105351139	+	58494	37
Marchf10	11	105360798	105456735	-	95938	54
Tanc2	11	105589986	105929304	+	339319	866
Cyb561	11	105933702	105953336	-	19635	6
Ace	11	105967945	105989964	+	22020	9
Ace3	11	105994675	106005443	+	10769	5
Kcnh6	11	106008124	106034549	+	26426	36
Dcaf7	11	106036872	106059324	+	22453	674
Taco1	11	106066061	106073612	+	7552	33
Map3k3	11	106084613	106155446	+	70834	748
Limd2	11	106156256	106160860	-	4605	49
Strada	11	106163351	106193572	-	30222	28
Ccdc47	11	106197408	106216344	-	18937	17
Ddx42	11	106216926	106249139	+	32214	885
Ftsj3	11	106249142	106256079	-	6938	86
Psmc5	11	106256154	106263120	+	6967	281
Smarcd2	11	106263179	106272972	-	9794	62
Tcam1	11	106276672	106288745	+	12074	23
Gh	11	106300271	106301865	-	1595	0
Cd79b	11	106311341	106314762	-	3422	0
Scn4a	11	106318592	106349389	-	30798	17
Prr29	11	106365472	106377558	+	12087	4
Icam2	11	106377656	106388075	-	10420	13
Ern1	11	106394650	106487836	-	93187	60
Tex2	11	106502147	106613423	-	111277	181
Pecam1	11	106654217	106750628	-	96412	99
Milr1	11	106751226	106768794	+	17569	39
Polg2	11	106768253	106779537	-	11285	15
Ddx5	11	106780355	106789185	-	8831	17
Cep95	11	106789252	106819930	+	30679	384
Smurf2	11	106820066	106920715	-	100650	109
Kpna2	11	106988629	106999541	-	10913	6
1810010H24Rik	11	107025681	107030443	+	4763	6
Bptf	11	107033081	107132127	-	99047	45
Nol11	11	107166663	107189381	-	22719	7
Pitpnc1	11	107207892	107470699	-	262808	202
Psmd12	11	107479484	107504362	+	24879	761
Helz	11	107547956	107693826	+	145871	1674
Cacng1	11	107703218	107716522	-	13305	11
Cacng4	11	107732357	107794557	-	62201	29
Cacng5	11	107874605	107915055	-	40451	23
Prkca	11	107933387	108343928	-	410542	361
Apoh	11	108343354	108414396	+	71043	61
Cep112	11	108425192	108860615	+	435424	274
Axin2	11	108920349	108950783	+	30435	87
E030025P04Rik	11	109139291	109144369	-	5079	0
Rgs9	11	109225355	109298129	-	72775	28
Gna13	11	109362831	109401369	+	38539	1861
9930022D16Rik	11	109413917	109420405	+	6489	3
Amz2	11	109425946	109452372	+	26427	76
Slc16a6	11	109450855	109473598	-	22744	18
Arsg	11	109473374	109573330	+	99957	213
Wipi1	11	109573331	109611432	-	38102	27
Prkar1a	11	109649405	109669656	+	20252	811
Fam20a	11	109669749	109722279	-	52531	152
1700012B07Rik	11	109787651	109828046	-	40396	29
Abca8b	11	109932190	109995845	-	63656	54
Abca8a	11	110025634	110095978	-	70345	51
Abca9	11	110100749	110168196	-	67448	63
Abca6	11	110176820	110251776	-	74957	52
Abca5	11	110269369	110337678	-	68310	43
Map2k6	11	110399122	110525522	+	126401	68
Kcnj16	11	110968033	111027968	+	59936	40
Kcnj2	11	111066164	111076821	+	10658	9
Sox9	11	112782224	112787760	+	5537	3
Slc39a11	11	113244853	113650079	-	405227	260
Sstr2	11	113619342	113626028	+	6687	3
Cog1	11	113649169	113667054	+	17886	354
Fam104a	11	113661319	113684155	-	22837	189
D11Wsu47e	11	113684412	113694647	+	10236	346
Cpsf4l	11	113698172	113710017	-	11846	254
Cdc42ep4	11	113726850	113751881	-	25032	17
Sdk2	11	113776374	114066218	-	289845	145
Rpl38	11	114668524	114672331	+	3808	875
Ttyh2	11	114675431	114720977	+	45547	32
Dnaic2	11	114727412	114757889	+	30478	13
Kif19a	11	114765388	114790739	+	25352	18
Btbd17	11	114791217	114795897	-	4681	3
Gpr142	11	114798924	114806745	+	7822	1
Gprc5c	11	114851152	114872617	+	21466	11
Cd300a	11	114890041	114904654	+	14614	12
Cd300lb	11	114922781	114934386	-	11606	4
Cd300c	11	114956268	114960417	-	4150	1
Cd300ld	11	114982274	114989922	-	7649	1
Cd300c2	11	114996721	115001880	-	5160	2
Cd300ld2	11	115010335	115016193	-	5859	4
Cd300ld4	11	115020728	115027012	-	6285	5
Cd300ld5	11	115031486	115037769	-	6284	2
Cd300ld3	11	115042131	115048409	-	6279	4
Cd300e	11	115051917	115062177	-	10261	4
Rab37	11	115091431	115162236	+	70806	56
Cd300lf	11	115116214	115133992	-	17779	10
Slc9a3r1	11	115163341	115181181	+	17841	480
Nat9	11	115182832	115187844	-	5013	26
Tmem104	11	115187487	115247023	+	59537	1075
Grin2c	11	115249169	115267243	-	18075	12
Fdxr	11	115268024	115277050	-	9027	6
Fads6	11	115279622	115297514	-	17893	7
Otop2	11	115307163	115332303	+	25141	16
Ush1g	11	115315192	115322041	-	6850	4
Otop3	11	115334731	115346927	+	12197	3
Hid1	11	115347707	115367756	-	20050	7
Cdr2l	11	115381916	115396132	+	14217	12
Mrpl58	11	115403752	115412674	+	8923	155
Atp5h	11	115415689	115419962	-	4274	11
Kctd2	11	115420128	115431274	+	11147	176
Trim80	11	115440545	115448270	+	7726	4
Slc16a5	11	115462474	115474398	+	11925	14
Armc7	11	115475667	115490467	+	14801	398
Nt5c	11	115490420	115491862	-	1443	9
Jpt1	11	115497353	115514387	-	17035	12
Sumo2	11	115523102	115536276	-	13175	25
Nup85	11	115564434	115583985	+	19552	616
Gga3	11	115584255	115604051	-	19797	50
Mrps7	11	115603925	115608036	+	4112	232
Mif4gd	11	115607918	115612969	-	5052	63
Slc25a19	11	115614178	115628295	-	14118	7
Grb2	11	115644045	115708597	-	64553	43
Tmem94	11	115765433	115799366	+	33934	472
Caskin2	11	115799183	115813639	-	14457	18
Tsen54	11	115814724	115823094	+	8371	291
Llgl2	11	115824049	115855780	+	31732	236
Myo15b	11	115858406	115892603	+	34198	14
Recql5	11	115892595	115933477	-	40883	26
Smim5	11	115899966	115906269	+	6304	3
Smim6	11	115912017	115913920	+	1904	3
Sap30bp	11	115933282	115966725	+	33444	1581
Itgb4	11	115974709	116008412	+	33704	14
Galk1	11	116008457	116012719	-	4263	5
H3f3b	11	116021912	116027962	-	6051	8
Unk	11	116030322	116061214	+	30893	1237
Unc13d	11	116062095	116077961	-	15867	82
Wbp2	11	116078573	116086995	-	8423	12
Trim47	11	116105752	116110246	-	4495	3
Trim65	11	116121846	116131126	-	9281	14
Mrpl38	11	116131817	116138868	-	7052	9
Fbf1	11	116142285	116168154	-	25870	22
Acox1	11	116171888	116199045	-	27158	19
Ten1	11	116198855	116215318	+	16464	146
Cdk3	11	116216003	116219776	+	3774	11
Evpl	11	116220559	116238077	-	17519	15
Srp68	11	116245166	116274217	-	29052	22
Galr2	11	116280939	116283938	+	3000	2
Exoc7	11	116288001	116307233	-	19233	11
Foxj1	11	116330704	116335399	-	4696	1
Rnf157	11	116336353	116413004	-	76652	475
Ubald2	11	116434094	116439077	+	4984	451
Qrich2	11	116441329	116466241	-	24913	109
Prpsap1	11	116470845	116494202	-	23358	10
Sphk1	11	116530925	116536675	+	5751	7
Ube2o	11	116537740	116581447	-	43708	36
Aanat	11	116593687	116597680	+	3994	2
Rhbdf2	11	116598165	116627019	-	28855	7
Cygb	11	116645595	116654313	-	8719	2
Prcd	11	116653534	116668387	+	14854	3
St6galnac2	11	116675303	116694868	-	19566	718
St6galnac1	11	116765025	116775507	-	10483	3
Mxra7	11	116803062	116828046	-	24985	7
Jmjd6	11	116837432	116843449	-	6018	3
Mettl23	11	116843278	116854263	+	10986	252
Srsf2	11	116849901	116853094	-	3194	48
Mfsd11	11	116852440	116875635	+	23196	97
Mgat5b	11	116918863	116986948	+	68086	27
Sec14l1	11	117115172	117159268	+	44097	362
Septin9	11	117199661	117362325	+	162665	948
Gm11733	11	117484368	117489014	+	4647	3
Tnrc6c	11	117654289	117763439	+	109151	2924
Tmc6	11	117765988	117782198	-	16211	51
Tmc8	11	117782076	117793110	+	11035	229
6030468B19Rik	11	117797660	117807301	+	9642	2
Syngr2	11	117809668	117814283	+	4616	368
Gm20708	11	117809668	117839904	+	30237	1672
Tk1	11	117815526	117826092	-	10567	827
Afmid	11	117825924	117839908	+	13985	415
Birc5	11	117849251	117855743	+	6493	7
Tmem235	11	117860752	117865543	+	4792	2
Tha1	11	117867952	117873459	-	5508	5
Socs3	11	117966079	117969186	-	3108	5
Pgs1	11	117986292	118024011	+	37720	5101
Dnah17	11	118021723	118130634	-	108912	2005
Cyth1	11	118132019	118248592	-	116574	95
Usp36	11	118259651	118290244	-	30594	25
Timp2	11	118301069	118355740	-	54672	18
Cep295nl	11	118332360	118342500	-	10141	5
Lgals3bp	11	118392751	118402092	-	9342	6
Cant1	11	118406289	118419086	-	12798	8
C1qtnf1	11	118428203	118449963	+	21761	15
Engase	11	118476829	118489209	+	12381	82
Rbfox3	11	118489762	118911597	-	421836	190
Enpp7	11	118988188	118993221	+	5034	1
Cbx2	11	119022962	119031270	+	8309	24
Cbx8	11	119036305	119040969	-	4665	2
Cbx4	11	119077573	119086221	-	8649	6
Tbc1d16	11	119143045	119228499	-	85455	41
Ccdc40	11	119228572	119265238	+	36667	32
Gaa	11	119267887	119285454	+	17568	211
Eif4a3	11	119288363	119300089	-	11727	6
Card14	11	119307768	119345375	+	37608	17
Sgsh	11	119343425	119355536	-	12112	6
Slc26a11	11	119355557	119381079	+	25523	126
Rnf213	11	119393100	119487418	+	94319	1309
Endov	11	119491347	119511437	+	20091	702
Nptx1	11	119538719	119547753	-	9035	7
Rptor	11	119603149	119899576	+	296428	10298
Chmp6	11	119913441	119919548	+	6108	171
Baiap2	11	119942763	120006782	+	64020	381
Aatk	11	120007313	120047145	-	39833	20
Cep131	11	120064430	120086827	-	22398	11
Tepsin	11	120090531	120098731	-	8201	4
Ndufaf8	11	120098928	120100705	+	1778	41
Slc38a10	11	120103960	120151346	-	47387	30
Bahcc1	11	120232947	120292296	+	59350	19
Actg1	11	120345690	120348542	-	2853	2
Fscn2	11	120361534	120368168	+	6635	5
Faap100	11	120369562	120378764	-	9203	4
Nploc4	11	120380370	120437708	-	57339	49
Tspan10	11	120442644	120446950	+	4307	1
Pde6g	11	120447626	120453500	-	5875	7
Oxld1	11	120456606	120458068	-	1463	2
Ccdc137	11	120458115	120464358	+	6244	619
Arl16	11	120465438	120467600	-	2163	9
Hgs	11	120467635	120483979	+	16345	446
Mrpl12	11	120484613	120489065	+	4453	378
Slc25a10	11	120491840	120499187	+	7348	34
Gcgr	11	120530699	120538984	+	8286	6
Mcrip1	11	120542888	120549727	-	6840	5
Ppp1r27	11	120549979	120551132	-	1154	6
P4hb	11	120560298	120573253	-	12956	9
Arhgdia	11	120578104	120581624	-	3521	1
Alyref	11	120592121	120598365	-	6245	6
Anapc11	11	120598421	120608198	+	9778	142
Npb	11	120608477	120609093	+	617	6
Pcyt2	11	120610087	120617936	-	7850	14
Sirt7	11	120618372	120625014	-	6643	1
Mafg	11	120625117	120633600	-	8484	5
Pycr1	11	120635712	120643769	-	8058	15
Myadml2	11	120646031	120648158	-	2128	1
Notum	11	120653788	120661175	-	7388	1
Aspscr1	11	120672992	120709447	+	36456	1123
Cenpx	11	120710942	120713738	-	2797	31
Lrrc45	11	120713925	120721128	+	7204	234
Rac3	11	120721470	120723969	+	2500	7
Dcxr	11	120725399	120727281	-	1883	3
Cbr2	11	120729489	120732114	-	2626	3
Hmga1b	11	120762794	120764419	+	1626	64
Rfng	11	120780748	120784207	-	3460	2
Gps1	11	120784275	120789102	+	4828	386
Dus1l	11	120789201	120796403	-	7203	43
Fasn	11	120805846	120824547	-	18702	10
Ccdc57	11	120826529	120932872	-	106344	72
Slc16a3	11	120948480	120960868	+	12389	18
Csnk1d	11	120958990	120991330	-	32341	32
Cd7	11	121036747	121039418	-	2672	1
Sectm1b	11	121053458	121063569	-	10112	1
Sectm1a	11	121067407	121081220	-	13814	6
Tex19.2	11	121116215	121118677	-	2463	0
Tex19.1	11	121146143	121148319	+	2177	2
Uts2r	11	121160271	121161973	+	1703	2
Ogfod3	11	121177591	121204711	-	27121	18
Hexdc	11	121204433	121222655	+	18223	98
Cybc1	11	121222588	121229322	-	6735	17
Narf	11	121237253	121255856	+	18604	23
Foxk2	11	121259990	121309896	+	49907	2238
Wdr45b	11	121327224	121354445	-	27222	36
Rab40b	11	121356125	121388251	-	32127	28
Fn3krp	11	121421401	121431288	+	9888	25
Fn3k	11	121434913	121450491	+	15579	18
Tbcd	11	121451949	121617164	+	165216	2377
Zfp750	11	121510978	121519333	-	8356	207
B3gntl1	11	121616197	121673153	-	56957	231
Metrnl	11	121701544	121716306	+	14763	7
Ptchd3	11	121830247	121843423	+	13177	9
Rab10	12	3247428	3309969	-	62542	118
Kif3c	12	3365132	3406494	+	41363	107
Asxl2	12	3426857	3506852	+	79996	1852
Dtnb	12	3572381	3781796	+	209416	1179
Dnmt3a	12	3806527	3914443	+	107917	15186
Pomc	12	3954951	3960642	+	5692	7
Efr3b	12	3962554	4038915	-	76362	44
Dnajc27	12	4082583	4110606	+	28024	704
Adcy3	12	4133104	4213525	+	80422	946
Cenpo	12	4196004	4234294	-	38291	277
Ptrhd1	12	4234027	4239950	+	5924	36
Ncoa1	12	4247362	4477182	-	229821	179
Itsn2	12	4592638	4713962	+	121325	2784
Fam228a	12	4713670	4738419	-	24750	50
Fam228b	12	4739888	4769267	-	29380	21
Pfn4	12	4769022	4778813	+	9792	7
Sf3b6	12	4817544	4827659	+	10116	260
Fkbp1b	12	4833174	4841591	-	8418	23
Wdcp	12	4843303	4860043	+	16741	121
Mfsd2b	12	4862440	4874359	-	11920	29
Ubxn2a	12	4879032	4907705	-	28674	32
Atad2b	12	4917404	5047394	+	129991	2093
Klhl29	12	5077472	5375682	-	298211	233
Apob	12	7977648	8016835	+	39188	33
Ldah	12	8208107	8285759	+	77653	528
Gdf7	12	8297918	8301954	-	4037	4
Hs1bp3	12	8313432	8343824	+	30393	30
Rhob	12	8497661	8500009	-	2349	3
Slc7a15	12	8528483	8599066	-	70584	149
Pum2	12	8674134	8752581	+	78448	3465
Sdc1	12	8771323	8793715	+	22393	19
Laptm4a	12	8921664	8938742	+	17079	618
Matn3	12	8947929	8972028	+	24100	14
Wdr35	12	8973892	9028847	+	54956	44
Ttc32	12	9029997	9041988	+	11992	69
Osr1	12	9570116	9581500	+	11385	6
Nt5c1b	12	10369973	10390175	+	20203	16
Rdh14	12	10390772	10395562	+	4791	86
Kcns3	12	11090202	11151056	-	60855	38
Msgn1	12	11208360	11208972	-	613	0
Gen1	12	11238920	11265797	-	26878	20
Smc6	12	11265886	11319785	+	53900	656
Vsnl1	12	11325242	11436613	-	111372	70
Rad51ap2	12	11456079	11462928	+	6850	3
Fam49a	12	12262139	12380965	+	118827	250
Mycn	12	12936093	12941914	-	5822	4
Ddx1	12	13216973	13249213	-	32241	32
Nbas	12	13269133	13583811	+	314679	1814
Lratd1	12	14146830	14152054	-	5225	4
Trib2	12	15791727	15816922	-	25196	22
Lpin1	12	16535669	16646966	-	111298	72
Ntsr2	12	16653382	16660227	+	6846	5
Greb1	12	16670615	16800886	-	130272	55
E2f6	12	16810963	16839742	+	28780	409
Rock2	12	16894895	16987823	+	92929	1973
Pqlc3	12	16988648	17000408	-	11761	291
2410004P03Rik	12	17003319	17011727	-	8409	7
Kcnf1	12	17172100	17176888	-	4789	0
Pdia6	12	17266545	17284770	+	18226	382
Atp6v1c2	12	17284721	17329359	-	44639	52
Nol10	12	17348458	17430095	+	81638	3135
Odc1	12	17544794	17551505	+	6712	514
Hpcal1	12	17690856	17791933	+	101078	2567
5730507C01Rik	12	18514510	18535254	+	20745	10
Gm21863	12	19954505	19954840	+	336	1
Asap2	12	21111748	21270171	+	158424	213
Itgb1bp1	12	21267420	21286284	-	18865	16
Cpsf3	12	21285391	21315056	+	29666	473
Iah1	12	21316389	21323819	+	7431	81
Adam17	12	21323509	21373632	-	50124	104
Ywhaq	12	21390071	21417637	-	27567	40
9030624G23Rik	12	24043202	24097246	-	54045	31
Taf1b	12	24498359	24558539	+	60181	596
Grhl1	12	24572283	24617391	+	45109	786
Klf11	12	24651274	24662789	+	11516	39
Cys1	12	24665833	24681813	-	15981	8
Rrm2	12	24708241	24714146	+	5906	10
Mboat2	12	24830879	24964397	+	133519	78
Kidins220	12	24974925	25063152	+	88228	906
Id2	12	25093799	25097140	-	3342	2
Rnf144a	12	26306794	26415254	-	108461	62
Rsad2	12	26442746	26456452	-	13707	5
Cmpk2	12	26469204	26479837	+	10634	7
Nkx2	12	26838664	147186404	-	120347741	240578
Sox11	12	27334264	27342574	-	8311	4
Dcdc2c	12	28437795	28552399	-	114605	78
Allc	12	28553755	28582523	-	28769	19
Colec11	12	28594173	28623377	-	29205	20
Rps7	12	28630854	28635953	-	5100	4
Rnaseh1	12	28649602	28659589	+	9988	276
Adi1	12	28675231	28682175	+	6945	42
Trappc12	12	28690628	28750472	-	59845	76
Eipr1	12	28751803	28869865	+	118063	1684
Myt1l	12	29528384	29923213	+	394830	220
Pxdn	12	29937608	30017658	+	80051	48
Tpo	12	30054659	30132624	-	77966	38
Sntg2	12	30174482	30373375	-	198894	149
Tmem18	12	30584426	30591215	+	6790	51
Alkal2	12	30884322	30893854	+	9533	4
Acp1	12	30893326	30911589	-	18264	10
Sh3yl1	12	30911668	30960162	+	48495	25
Fam110c	12	31073861	31080251	+	6391	1
Gm6993	12	31240770	31240979	+	210	0
Lamb1	12	31265234	31329644	+	64411	47
Dld	12	31331277	31351453	-	20177	16
Slc26a3	12	31390871	31473917	+	83047	52
Cbll1	12	31484829	31499616	-	14788	10
Slc26a4	12	31519827	31559969	-	40143	21
