# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_2_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_2_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_2_srt_flt_neg_srt.bam
Lactb2	1	13623330	13660546	-	37217	28
Xkr9	1	13668771	13701723	+	32953	17
Eya1	1	14168954	14310235	-	141282	90
Msc	1	14753346	14755990	-	2645	1
Trpa1	1	14872648	14918862	-	46215	28
Kcnb2	1	15287254	15723750	+	436497	289
Terf1	1	15805646	15844052	+	38407	385
Sbspon	1	15853862	15892722	-	38861	64
4930444P10Rik	1	16065979	16093325	-	27347	22
Rpl7	1	16101295	16104662	-	3368	3
Rdh10	1	16105774	16133734	+	27961	196
Stau2	1	16228674	16520112	-	291439	278
Ube2w	1	16540790	16619489	-	78700	80
Eloc	1	16641725	16657042	-	15318	13
Tmem70	1	16665207	16678275	+	13069	175
Ly96	1	16688433	16709611	+	21179	24
Jph1	1	16964560	17097889	-	133330	116
Gdap1	1	17145362	17164271	+	18910	12
Pi15	1	17601901	17630939	+	29039	28
Crispld1	1	17727045	17766344	+	39300	26
Crisp4	1	18115191	18145902	-	30712	30
Defb18	1	18236473	18237443	-	971	0
Defb41	1	18250980	18265138	-	14159	6
Tfap2d	1	19103022	19166346	+	63325	51
Tfap2b	1	19208914	19238576	+	29663	27
Pkhd1	1	20057779	20618064	-	560286	490
Il17a	1	20730905	20734496	+	3592	2
Il17f	1	20777146	20790617	-	13472	6
Mcm3	1	20802968	20820312	-	17345	4
Paqr8	1	20890606	20939650	+	49045	37
Efhc1	1	20951688	20990841	+	39154	24
Tram2	1	20996299	21079229	-	82931	49
Tmem14a	1	21218575	21230167	+	11593	12
Gsta3	1	21240589	21265661	+	25073	11
Khdc1a	1	21349641	21352200	+	2560	2
Khdc1c	1	21368331	21370845	+	2515	2
Khdc1b	1	21383556	21386373	+	2818	1
Kcnq5	1	21398403	21961942	-	563540	482
Cox5b	1	21501029	36693681	+	15192653	18550
Rims1	1	22286251	22805994	-	519744	185
Ppp1r14bl	1	23100473	23102253	-	1781	0
Ogfrl1	1	23366424	23397541	-	31118	16
B3gat2	1	23761753	23849158	+	87406	51
Smap1	1	23845625	23922317	-	76693	66
Sdhaf4	1	23995939	24005656	-	9718	9
Fam135a	1	24011093	24100333	-	89241	65
Col9a1	1	24177610	24252684	+	75075	45
Col19a1	1	24263994	24587472	-	323479	268
Lmbrd1	1	24678630	24766301	+	87672	1022
Adgrb3	1	25067476	25829707	-	762232	596
4931408C20Rik	1	26681814	26687460	-	5647	10
Gm597	1	28776117	28780252	-	4136	4
Phf3	1	30802339	30873894	-	71556	65
Ptp4a1	1	30940302	30949770	-	9469	7
Gm5698	1	30977243	30977968	-	726	0
4931428L18Rik	1	30997842	31222617	-	224776	169
Lgsn	1	31176401	31204725	+	28325	23
Pih1d3	1	31222838	31224288	+	1451	0
Khdrbs2	1	32172714	32658568	+	485855	362
Gm5415	1	32543686	32547294	-	3609	4
Prim2	1	33453810	33669795	-	215986	151
Rab23	1	33719895	33742564	+	22670	113
Bag2	1	33745484	33757795	-	12312	5
Zfp451	1	33761545	33814570	-	53026	41
Bend6	1	33852052	33907816	-	55765	37
Dst	1	33908225	34308661	+	400437	368
Ccdc115	1	34436670	34439672	-	3003	2
Imp4	1	34439851	34449356	+	9506	534
Ptpn18	1	34459765	34475733	+	15969	53
Prss39	1	34498410	34503063	+	4654	4
Cfc1	1	34535648	34544313	+	8666	7
Prss40	1	34543968	34560943	-	16976	13
Amer3	1	34579657	34590944	+	11288	8
Arhgef4	1	34678188	34813309	+	135122	238
Fam168b	1	34813219	34843065	-	29847	43
Plekhb2	1	34849976	34879580	+	29605	307
Hs6st1	1	36068400	36106446	+	38047	1081
Uggt1	1	36140027	36244305	-	104279	63
Neurl3	1	36264597	36274679	-	10083	14
Arid5a	1	36307733	36324029	+	16297	2236
Kansl3	1	36335730	36369181	-	33452	44
Fer1l5	1	36372291	36422110	+	49820	27
Lman2l	1	36419871	36445271	-	25401	16
Cnnm4	1	36471620	36508764	+	37145	200
Cnnm3	1	36511867	36528237	+	16371	392
Ankrd23	1	36530188	36536521	-	6334	36
Gm42417	1	36530193	36539429	-	9237	37
Ankrd39	1	36537507	36547445	-	9939	8
Sema4c	1	36548639	36558349	-	9711	3
Fam178b	1	36562692	36683183	-	120492	81
Actr1b	1	36698114	36714422	-	16309	16
4933424G06Rik	1	36710149	36757953	+	47805	28
Zap70	1	36761798	36782818	+	21021	5842
Tmem131	1	36792191	36943666	-	151476	164
Vwa3b	1	37026596	37187607	+	161012	80
Cnga3	1	37214434	37263384	+	48951	29
Inpp4a	1	37299891	37410736	+	110846	1125
Coa5	1	37417084	37430103	-	13020	55
Unc50	1	37430139	37439124	+	8986	224
Mgat4a	1	37439340	37541016	-	101677	105
2010300C02Rik	1	37611677	37720085	-	108409	79
Tsga10	1	37754776	37866429	-	111654	63
Lipt1	1	37871738	37876228	+	4491	16
Mitd1	1	37874801	37890411	-	15611	40
Mrpl30	1	37890477	37898535	+	8059	181
Lyg2	1	37905923	37916493	-	10571	13
Lyg1	1	37946736	37957759	-	11024	8
Txndc9	1	37985189	37997893	-	12705	16
Eif5b	1	37998010	38055579	+	57570	1949
Rev1	1	38052786	38129801	-	77016	192
Aff3	1	38177326	38664955	-	487630	319
Lonrf2	1	38793645	38836711	-	43067	24
Chst10	1	38863867	38898161	-	34295	21
Nms	1	38939149	38950276	+	11128	7
Pdcl3	1	38985608	38997238	+	11631	105
Npas2	1	39193731	39363236	+	169506	123
Rpl31	1	39367842	39371911	+	4070	808
Tbc1d8	1	39371492	39478755	-	107264	791
Cnot11	1	39534992	39546889	+	11898	166
Rnf149	1	39551296	39577405	-	26110	28
Creg2	1	39618406	39651474	-	33069	21
Rfx8	1	39665301	39720997	-	55697	26
Gm3646	1	39804148	39805332	-	1185	2
Map4k4	1	39900913	40026310	+	125398	2982
Il1r2	1	40074079	40125231	+	51153	44
Il1r1	1	40225080	40317257	+	92178	60
Il1rl2	1	40324627	40367562	+	42936	394
Il1rl1	1	40429570	40465415	+	35846	24
Il18r1	1	40465552	40500854	+	35303	50
Il18rap	1	40515362	40551705	+	36344	59
Slc9a4	1	40580081	40630725	+	50645	29
Slc9a2	1	40680574	40769273	+	88700	59
Mfsd9	1	40772038	40790687	-	18650	16
Tmem182	1	40805601	40856887	+	51287	27
Pou3f3	1	42694925	42703176	+	8252	2
Mrps9	1	42851233	42905683	+	54451	1329
Gpr45	1	42952963	43035456	+	82494	61
Tgfbrap1	1	43047200	43098622	-	51423	32
AI597479	1	43098710	43115947	+	17238	185
Fhl2	1	43123074	43196984	-	73911	85
Nck2	1	43444579	43570515	+	125937	1477
Ecrg4	1	43730602	43742578	+	11977	6
Uxs1	1	43746966	43827800	-	80835	62
Tpp2	1	43934007	44003000	+	68994	1591
