# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_24_pos_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_24_srt_flt_pos_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_24_srt_flt_pos_srt.bam
Dst	1	33908225	34308661	+	400437	12
Ccdc115	1	34436670	34439672	-	3003	32
Imp4	1	34439851	34449356	+	9506	0
Ptpn18	1	34459765	34475733	+	15969	31
Prss39	1	34498410	34503063	+	4654	0
Cfc1	1	34535648	34544313	+	8666	0
Prss40	1	34543968	34560943	-	16976	0
Amer3	1	34579657	34590944	+	11288	0
Arhgef4	1	34678188	34813309	+	135122	128
Fam168b	1	34813219	34843065	-	29847	984
Plekhb2	1	34849976	34879580	+	29605	0
Hs6st1	1	36068400	36106446	+	38047	2
Uggt1	1	36140027	36244305	-	104279	1797
Neurl3	1	36264597	36274679	-	10083	136
Arid5a	1	36307733	36324029	+	16297	13
Kansl3	1	36335730	36369181	-	33452	924
Fer1l5	1	36372291	36422110	+	49820	90
Lman2l	1	36419871	36445271	-	25401	359
Cnnm4	1	36471620	36508764	+	37145	0
Cnnm3	1	36511867	36528237	+	16371	2
Ankrd23	1	36530188	36536521	-	6334	87
Gm42417	1	36530193	36539429	-	9237	159
Ankrd39	1	36537507	36547445	-	9939	124
Sema4c	1	36548639	36558349	-	9711	203
Fam178b	1	36562692	36683183	-	120492	11
Actr1b	1	36698114	36714422	-	16309	351
4933424G06Rik	1	36710149	36757953	+	47805	1
Zap70	1	36761798	36782818	+	21021	5
Tmem131	1	36792191	36943666	-	151476	2772
Vwa3b	1	37026596	37187607	+	161012	1
Cnga3	1	37214434	37263384	+	48951	0
Inpp4a	1	37299891	37410736	+	110846	10
Coa5	1	37417084	37430103	-	13020	129
Unc50	1	37430139	37439124	+	8986	21
Mgat4a	1	37439340	37541016	-	101677	1213
2010300C02Rik	1	37611677	37720085	-	108409	30
Tsga10	1	37754776	37866429	-	111654	42
Lipt1	1	37871738	37876228	+	4491	16
Mitd1	1	37874801	37890411	-	15611	207
Mrpl30	1	37890477	37898535	+	8059	1
Lyg2	1	37905923	37916493	-	10571	0
Lyg1	1	37946736	37957759	-	11024	1
Txndc9	1	37985189	37997893	-	12705	215
Eif5b	1	37998010	38055579	+	57570	157
Rev1	1	38052786	38129801	-	77016	1283
Aff3	1	38177326	38664955	-	487630	35422
Lonrf2	1	38793645	38836711	-	43067	1
Chst10	1	38863867	38898161	-	34295	96
Nms	1	38939149	38950276	+	11128	0
Pdcl3	1	38985608	38997238	+	11631	1
Npas2	1	39193731	39363236	+	169506	7
Rpl31	1	39367842	39371911	+	4070	1
Tbc1d8	1	39371492	39478755	-	107264	38
Cnot11	1	39534992	39546889	+	11898	26
Rnf149	1	39551296	39577405	-	26110	428
Creg2	1	39618406	39651474	-	33069	0
Rfx8	1	39665301	39720997	-	55697	10
Gm3646	1	39804148	39805332	-	1185	0
Map4k4	1	39900913	40026310	+	125398	9
Il1r2	1	40074079	40125231	+	51153	20
Il1r1	1	40225080	40317257	+	92178	5
Il1rl2	1	40324627	40367562	+	42936	0
Il1rl1	1	40429570	40465415	+	35846	1
Il18r1	1	40465552	40500854	+	35303	4
Il18rap	1	40515362	40551705	+	36344	4
Slc9a4	1	40580081	40630725	+	50645	0
Slc9a2	1	40680574	40769273	+	88700	5
Mfsd9	1	40772038	40790687	-	18650	27
Tmem182	1	40805601	40856887	+	51287	0
Pou3f3	1	42694925	42703176	+	8252	0
Mrps9	1	42851233	42905683	+	54451	2
Gpr45	1	42952963	43035456	+	82494	8
Tgfbrap1	1	43047200	43098622	-	51423	348
AI597479	1	43098710	43115947	+	17238	0
Fhl2	1	43123074	43196984	-	73911	271
Nck2	1	43444579	43570515	+	125937	9
Ecrg4	1	43730602	43742578	+	11977	56
Uxs1	1	43746966	43827800	-	80835	1203
Tpp2	1	43934007	44003000	+	68994	3
Mettl21c	1	44009408	44020006	-	10599	1
Gm8251	1	44055872	44079746	-	23875	102
Tex30	1	44086613	44102441	-	15829	169
Poglut2	1	44106546	44118808	-	12263	77
Bivm	1	44118957	44144770	+	25814	3
Ercc5	1	44147847	44181260	+	33414	0
Mettl21e	1	44204070	44218961	-	14892	0
Gulp1	1	44551511	44796838	+	245328	12
Col3a1	1	45311538	45349706	+	38169	1
Col5a2	1	45374321	45503282	-	128962	1
Wdr75	1	45795166	45823619	+	28454	0
Gm5269	1	45889941	45890078	-	138	0
Slc40a1	1	45908068	45926519	-	18452	0
Dnah7b	1	46066738	46373550	+	306813	56
Dnah7c	1	46425592	46807476	+	381885	34
Slc39a10	1	46807544	46892852	-	85309	286
Hspe1	1	47112139	55091307	+	7979169	25656
Tmeff2	1	50909962	51187270	+	277309	6
Cavin2	1	51289126	51302960	+	13835	1
Nabp1	1	51465862	51478425	-	12564	1338
Myo1b	1	51749765	51916071	-	166307	6
Stat4	1	51987148	52107189	+	120042	22
