#Coverage	Number of genomic locations
0.0	2.615284973E9
1.0	6.6732086E7
2.0	2.0260449E7
3.0	9098192.0
4.0	4771854.0
5.0	2783535.0
6.0	1754351.0
7.0	1176775.0
8.0	823242.0
9.0	592204.0
10.0	441692.0
11.0	333375.0
12.0	256687.0
13.0	200923.0
14.0	158982.0
15.0	128923.0
16.0	105813.0
17.0	86996.0
18.0	73156.0
19.0	60873.0
20.0	51239.0
21.0	43309.0
22.0	37189.0
23.0	31241.0
24.0	27309.0
25.0	23718.0
26.0	20641.0
27.0	17608.0
28.0	15319.0
29.0	13569.0
30.0	12279.0
31.0	11148.0
32.0	9978.0
33.0	8913.0
34.0	7916.0
35.0	7329.0
36.0	6484.0
37.0	6086.0
38.0	5466.0
39.0	4997.0
40.0	4615.0
41.0	3880.0
42.0	3551.0
43.0	3258.0
44.0	2981.0
45.0	2535.0
46.0	2393.0
47.0	2126.0
48.0	1998.0
49.0	1872.0
50.0	1730.0
51.0	1602.0
52.0	1606.0
53.0	1451.0
54.0	1266.0
55.0	1227.0
56.0	1178.0
57.0	1139.0
58.0	1036.0
59.0	912.0
60.0	767.0
61.0	647.0
62.0	569.0
63.0	545.0
64.0	485.0
65.0	446.0
66.0	422.0
67.0	421.0
68.0	421.0
69.0	436.0
70.0	481.0
71.0	425.0
72.0	386.0
73.0	316.0
74.0	358.0
75.0	308.0
76.0	319.0
77.0	261.0
78.0	236.0
79.0	142.0
80.0	101.0
81.0	2.0
