name,WT-0h_vs_KO-0h,WT-6h_vs_KO-6h,WT-6h_vs_WT-0h,WT-24h_vs_KO-24h,WT-24h_vs_WT-0h,WT-48h_vs_KO-48h,WT-48h_vs_WT-0h,KO-6h_vs_KO-0h,KO-24h_vs_KO-0h,KO-48h_vs_KO-0h
ENSMUSE00000098340,0.999905437934732,NA,0.554093278588083,0.822688454229562,0.156788523232592,0.974591592159382,0.619804906555436,0.215680125127538,0.962699538513501,0.922444705331885
ENSMUSE00000098418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000099322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000099726,NA,NA,NA,NA,0.598335596436937,NA,0.0794579111426977,NA,0.940149292259168,0.685055023616294
ENSMUSE00000099822,NA,NA,0.75119706734287,NA,0.80133952402943,0.998106181359062,0.634641576458842,NA,0.867277603103504,0.602478626107245
ENSMUSE00000100732,NA,NA,0.209304223059445,0.86494239933416,0.817204652181243,0.981489582978569,0.877669383571816,0.22917396707607,0.985792227818171,0.689983342151405
ENSMUSE00000100813,NA,NA,0.380359917996751,NA,0.928111435932384,0.932752628690119,0.731465102251344,0.615501132899792,0.957007071075276,0.902920016260785
ENSMUSE00000101796,0.999905437934732,NA,0.0494192595211241,0.86494239933416,0.291584119845805,0.948699371881307,0.0875479424893287,0.0959677375814003,0.194855897953433,0.731359554450746
ENSMUSE00000102087,0.999905437934732,NA,0.0055183953350232,0.286141355220895,0.0039936960973168,0.45618302211422,0.1765965666683,0.0391887571288221,0.261512750767909,0.0116663279287168
ENSMUSE00000102166,NA,NA,0.765865880491814,NA,0.299269923608115,NA,0.815970667106947,NA,0.555064975205488,0.66584771577137
ENSMUSE00000102451,NA,NA,NA,NA,0.608074408972974,NA,0.872562667495026,NA,0.543916995763317,0.883727308780671
ENSMUSE00000102616,0.999905437934732,NA,0.0587799660771951,0.952967704921737,0.943955539965872,0.913418276593507,0.708965863501492,0.0444567147514609,0.901287869681191,0.374541748177866
ENSMUSE00000102813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000104604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000104993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000105193,0.999905437934732,0.955148702852735,0.748714529519647,0.868236212867191,0.949570769374155,0.965919500463496,0.264572726104678,0.304818692725981,0.290688906403485,0.244140002515961
ENSMUSE00000105272,NA,NA,0.428205425007629,NA,0.358985652237148,0.936450145920747,0.165977175026215,0.298615134989042,0.213617042982727,0.48827680355021
ENSMUSE00000105392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000105758,NA,NA,0.579271277188827,NA,0.320223509927438,0.829971251577536,0.550065655236489,NA,0.18739736440187,0.948456479751374
ENSMUSE00000106455,NA,NA,NA,NA,0.474774097674764,NA,0.503978995734308,NA,0.949258830056634,0.96424199636629
ENSMUSE00000107004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
