name,WT-0h_vs_KO-0h,WT-6h_vs_KO-6h,WT-6h_vs_WT-0h,WT-24h_vs_KO-24h,WT-24h_vs_WT-0h,WT-48h_vs_KO-48h,WT-48h_vs_WT-0h,KO-6h_vs_KO-0h,KO-24h_vs_KO-0h,KO-48h_vs_KO-0h
ENSMUSE00000098340,0.0416837011783732,-1.00555865439025,0.734778314494628,-1.7347619038198,-2.03754613670403,-0.528741366759242,-0.792377063527137,1.78202067006325,-0.261100531705856,-0.221951995589522
ENSMUSE00000098418,-0.161568621183672,-0.279658250642553,-0.127136197852067,-2.92154221294788,-1.79922833757865,0.00963699491553209,-2.69051215936813,-0.00904656839318558,0.960745254185555,-2.86171777546734
ENSMUSE00000099322,-1.61805498343654,-0.504593662797934,2.67650968577411,0.763312501799862,1.19042820945175,0.189045697025323,0.738100168192438,1.56304836513551,-1.19093927578465,-1.06900051226942
ENSMUSE00000099726,-3.2706915184833,-1.38435806989604,3.64547213887233,-0.548048567173373,1.99009498460809,-0.0818909523193165,4.77384808811372,1.75913869028507,-0.73254796670183,1.58504752194974
ENSMUSE00000099822,0.457713739159443,-0.263824440087897,0.597381971331899,0.215313089177868,0.610730134196529,0.0665773183951213,1.10113188686079,1.31892015057924,0.853130784178104,1.49226830762511
ENSMUSE00000100732,-0.853684256412663,-0.945159678839975,1.93517683782693,-1.2053023985439,-0.504993610840617,0.485282962107145,0.334472836503427,2.02665226025424,-0.153375468709378,-1.00449438201638
ENSMUSE00000100813,-1.03155211828551,-0.39666616754178,1.65074298603554,-0.366939416683989,0.248443610931814,-1.53305683071582,-0.893943986536528,1.01585703529181,-0.41616909066971,-0.392439274106217
ENSMUSE00000101796,0.395142819331147,0.502130488922085,-1.56727005779923,0.607287337527683,-0.995947524981346,-0.557043796111352,-1.42593058150272,-1.67425772739016,-1.20809204317788,-0.473743966060225
ENSMUSE00000102087,-0.649218408413156,-2.17552294180595,-4.56226269356653,-4.02492707691114,-4.73373775272166,-1.41630317292824,1.37236791472622,-3.03595816017374,-1.35802908422367,2.1394526792413
ENSMUSE00000102166,0.116619710652392,3.18564362956306,0.538553671435583,0.582240111077723,2.00524753615562,-0.544948602987166,0.560747545739029,-2.53047024747508,1.53962713573029,1.22231585937859
ENSMUSE00000102451,2.59808897454606,-2.01149047001063,0.320865391155725,-1.54064745888604,-1.6811428486076,2.35822413774333,0.515151856610269,4.93044483571241,2.45759358482449,0.755016693412999
