#Mapping quality	mapping quality
0.0	343362.0
1.0	1.4679286E7
2.0	89577.0
3.0	87494.0
4.0	47625.0
5.0	27283.0
6.0	365463.0
7.0	188289.0
8.0	126313.0
9.0	50483.0
10.0	58623.0
11.0	147012.0
12.0	357854.0
13.0	29870.0
14.0	83419.0
15.0	226601.0
16.0	165741.0
17.0	269520.0
18.0	265480.0
19.0	54425.0
20.0	91133.0
21.0	433829.0
22.0	129880.0
23.0	451122.0
24.0	770918.0
25.0	205761.0
26.0	180480.0
27.0	179461.0
28.0	265661.0
29.0	203158.0
30.0	1771217.0
31.0	1518486.0
32.0	1703429.0
33.0	821862.0
34.0	1600021.0
35.0	1179574.0
36.0	1208217.0
37.0	1170872.0
38.0	1489443.0
39.0	1337183.0
40.0	3126213.0
41.0	8526591.0
42.0	1.75937E8
