#Coverage	Number of genomic locations
0.0	2.474315215E9
1.0	1.77749966E8
2.0	3.3304598E7
3.0	1.5227334E7
4.0	8484589.0
5.0	5072344.0
6.0	3197133.0
7.0	2116911.0
8.0	1453237.0
9.0	1034616.0
10.0	758394.0
11.0	567885.0
12.0	429496.0
13.0	332584.0
14.0	262135.0
15.0	207985.0
16.0	166542.0
17.0	135115.0
18.0	110187.0
19.0	90065.0
20.0	74137.0
21.0	60885.0
22.0	50153.0
23.0	41970.0
24.0	35626.0
25.0	30511.0
26.0	26073.0
27.0	22505.0
28.0	18876.0
29.0	16209.0
30.0	13549.0
31.0	12010.0
32.0	10647.0
33.0	9139.0
34.0	8017.0
35.0	7183.0
36.0	6415.0
37.0	6048.0
38.0	5512.0
39.0	5285.0
40.0	4853.0
41.0	4397.0
42.0	4253.0
43.0	3629.0
44.0	3498.0
45.0	3338.0
46.0	3063.0
47.0	2777.0
48.0	2570.0
49.0	2347.0
50.0	2128.0
51.0	2071.0
52.0	2041.0
53.0	2002.0
54.0	1979.0
55.0	1726.0
56.0	1443.0
57.0	1466.0
58.0	1303.0
59.0	1161.0
60.0	986.0
61.0	850.0
62.0	700.0
63.0	635.0
64.0	519.0
65.0	370.0
66.0	236.0
67.0	156.0
68.0	139.0
69.0	109.0
70.0	120.0
71.0	106.0
72.0	89.0
73.0	67.0
74.0	62.0
75.0	139.0
76.0	179.0
77.0	369.0
78.0	513.0
79.0	692.0
80.0	963.0
81.0	392.0
82.0	118.0
83.0	32.0
84.0	2.0
