#Coverage	Number of genomic locations
0.0	2.610238407E9
1.0	6.988806E7
2.0	2.1315687E7
3.0	9457822.0
4.0	4957314.0
5.0	2891801.0
6.0	1837727.0
7.0	1233647.0
8.0	853161.0
9.0	612200.0
10.0	452753.0
11.0	343272.0
12.0	263236.0
13.0	206571.0
14.0	163483.0
15.0	130925.0
16.0	105701.0
17.0	86379.0
18.0	71170.0
19.0	58565.0
20.0	49377.0
21.0	41896.0
22.0	35774.0
23.0	30935.0
24.0	26761.0
25.0	23455.0
26.0	19914.0
27.0	17457.0
28.0	15386.0
29.0	13224.0
30.0	11585.0
31.0	10010.0
32.0	8790.0
33.0	7517.0
34.0	6487.0
35.0	5539.0
36.0	4761.0
37.0	4079.0
38.0	3573.0
39.0	3118.0
40.0	2805.0
41.0	2454.0
42.0	2235.0
43.0	2019.0
44.0	1777.0
45.0	1641.0
46.0	1466.0
47.0	1393.0
48.0	1283.0
49.0	1033.0
50.0	996.0
51.0	836.0
52.0	761.0
53.0	717.0
54.0	649.0
55.0	569.0
56.0	482.0
57.0	371.0
58.0	295.0
59.0	309.0
60.0	315.0
61.0	268.0
62.0	202.0
63.0	187.0
64.0	174.0
65.0	185.0
66.0	158.0
67.0	127.0
68.0	142.0
69.0	138.0
70.0	114.0
71.0	129.0
72.0	99.0
73.0	110.0
74.0	89.0
75.0	173.0
76.0	238.0
77.0	307.0
78.0	490.0
79.0	644.0
80.0	1101.0
81.0	521.0
82.0	121.0
83.0	25.0
84.0	2.0
