#Mapping quality	mapping quality
0.0	352768.0
1.0	9119226.0
2.0	76294.0
3.0	97550.0
4.0	40950.0
5.0	23005.0
6.0	258165.0
7.0	148766.0
8.0	138396.0
9.0	42123.0
10.0	44397.0
11.0	128469.0
12.0	272028.0
13.0	28878.0
14.0	75052.0
15.0	169143.0
16.0	114667.0
17.0	219443.0
18.0	227360.0
19.0	45539.0
20.0	71061.0
21.0	391837.0
22.0	124795.0
23.0	605568.0
24.0	921430.0
25.0	180311.0
26.0	137546.0
27.0	132528.0
28.0	197063.0
29.0	170449.0
30.0	1314621.0
31.0	1180326.0
32.0	1502059.0
33.0	808137.0
34.0	1276056.0
35.0	992352.0
36.0	988131.0
37.0	914733.0
38.0	1109548.0
39.0	857806.0
40.0	3185241.0
41.0	5386368.0
42.0	1.77796267E8
