#Duplication rate	Coverage
1.0	8530885.0
2.0	1032261.0
3.0	148522.0
4.0	33703.0
5.0	11641.0
6.0	5666.0
7.0	3343.0
8.0	2142.0
9.0	1623.0
10.0	1219.0
11.0	972.0
12.0	746.0
13.0	633.0
14.0	576.0
15.0	506.0
16.0	435.0
17.0	415.0
18.0	369.0
19.0	326.0
20.0	258.0
21.0	264.0
22.0	244.0
23.0	225.0
24.0	231.0
25.0	190.0
26.0	183.0
27.0	182.0
28.0	148.0
29.0	156.0
30.0	145.0
31.0	123.0
32.0	115.0
33.0	118.0
34.0	128.0
35.0	100.0
36.0	114.0
37.0	107.0
38.0	98.0
39.0	83.0
40.0	92.0
41.0	75.0
42.0	83.0
43.0	77.0
44.0	77.0
45.0	69.0
46.0	67.0
47.0	68.0
48.0	72.0
49.0	72.0
50.0	7781.0
