#Mapping quality	mapping quality
0.0	352057.0
1.0	8257239.0
2.0	76567.0
3.0	98226.0
4.0	38884.0
5.0	24140.0
6.0	286534.0
7.0	152387.0
8.0	145378.0
9.0	44576.0
10.0	42228.0
11.0	130983.0
12.0	282955.0
13.0	28434.0
14.0	79855.0
15.0	168885.0
16.0	113213.0
17.0	231874.0
18.0	251079.0
19.0	49673.0
20.0	70322.0
21.0	389534.0
22.0	131207.0
23.0	595207.0
24.0	949547.0
25.0	194669.0
26.0	148777.0
27.0	142002.0
28.0	212124.0
29.0	182534.0
30.0	1188512.0
31.0	1054634.0
32.0	1374736.0
33.0	856713.0
34.0	1122804.0
35.0	955752.0
36.0	1027335.0
37.0	968010.0
38.0	1161811.0
39.0	983081.0
40.0	3708489.0
41.0	6799696.0
42.0	1.68457443E8
