#Insert size (bp)	insert size
33.0	1.0
35.0	1.0
36.0	1.0
37.0	6.0
38.0	11.0
39.0	24.0
40.0	76.0
41.0	290.0
42.0	343.0
43.0	304.0
44.0	251.0
45.0	284.0
46.0	243.0
47.0	240.0
48.0	299.0
49.0	257.0
50.0	282.0
51.0	231.0
52.0	226.0
53.0	220.0
54.0	231.0
55.0	234.0
56.0	282.0
57.0	259.0
58.0	285.0
59.0	280.0
60.0	256.0
61.0	265.0
62.0	271.0
63.0	248.0
64.0	265.0
65.0	249.0
66.0	212.0
67.0	235.0
68.0	239.0
69.0	278.0
70.0	253.0
71.0	303.0
72.0	327.0
73.0	301.0
74.0	274.0
75.0	326.0
76.0	322.0
77.0	309.0
78.0	337.0
79.0	355.0
80.0	330.0
81.0	390.0
82.0	376.0
83.0	417.0
84.0	442.0
85.0	470.0
86.0	621.0
87.0	616.0
88.0	692.0
89.0	800.0
90.0	820.0
91.0	1006.0
92.0	1100.0
93.0	1215.0
94.0	1356.0
95.0	1573.0
96.0	1692.0
97.0	1914.0
98.0	2119.0
99.0	2425.0
100.0	2830.0
101.0	3142.0
102.0	3589.0
103.0	3728.0
104.0	4091.0
105.0	4450.0
106.0	4964.0
107.0	5416.0
108.0	5890.0
109.0	6453.0
110.0	7000.0
111.0	7541.0
112.0	7902.0
113.0	8645.0
114.0	9724.0
115.0	10394.0
116.0	10804.0
117.0	11884.0
118.0	12129.0
119.0	13089.0
120.0	13836.0
121.0	15051.0
122.0	16004.0
123.0	16953.0
124.0	18076.0
125.0	18529.0
126.0	20140.0
127.0	20844.0
128.0	22158.0
129.0	23072.0
130.0	24785.0
131.0	25569.0
132.0	26529.0
133.0	27611.0
134.0	29283.0
135.0	29777.0
136.0	31344.0
137.0	33187.0
138.0	34868.0
139.0	35860.0
140.0	37160.0
141.0	37832.0
142.0	38863.0
143.0	40160.0
144.0	41944.0
145.0	42564.0
146.0	43581.0
147.0	44736.0
148.0	46786.0
149.0	47689.0
150.0	49241.0
151.0	49445.0
152.0	50453.0
153.0	50902.0
154.0	51951.0
155.0	53623.0
156.0	56061.0
157.0	55930.0
158.0	57142.0
159.0	59163.0
160.0	58003.0
161.0	58905.0
162.0	61012.0
163.0	59966.0
164.0	60569.0
165.0	60640.0
166.0	62077.0
