#Insert size (bp)	insert size
37.0	4.0
38.0	8.0
39.0	7.0
40.0	52.0
41.0	187.0
42.0	184.0
43.0	199.0
44.0	174.0
45.0	188.0
46.0	193.0
47.0	192.0
48.0	195.0
49.0	221.0
50.0	190.0
51.0	208.0
52.0	199.0
53.0	181.0
54.0	184.0
55.0	205.0
56.0	182.0
57.0	176.0
58.0	160.0
59.0	197.0
60.0	168.0
61.0	202.0
62.0	182.0
63.0	190.0
64.0	219.0
65.0	175.0
66.0	203.0
67.0	204.0
68.0	205.0
69.0	204.0
70.0	173.0
71.0	221.0
72.0	216.0
73.0	213.0
74.0	236.0
75.0	280.0
76.0	278.0
77.0	321.0
78.0	331.0
79.0	411.0
80.0	366.0
81.0	412.0
82.0	471.0
83.0	483.0
84.0	564.0
85.0	606.0
86.0	703.0
87.0	787.0
88.0	897.0
89.0	999.0
90.0	1124.0
91.0	1275.0
92.0	1355.0
93.0	1526.0
94.0	1767.0
95.0	1911.0
96.0	2309.0
97.0	2457.0
98.0	2748.0
99.0	3068.0
100.0	3375.0
101.0	3757.0
102.0	3988.0
103.0	4486.0
104.0	4868.0
105.0	5204.0
106.0	5727.0
107.0	6238.0
108.0	6844.0
109.0	7428.0
110.0	7810.0
111.0	8327.0
112.0	9163.0
113.0	9322.0
114.0	10029.0
115.0	10867.0
116.0	11658.0
117.0	12194.0
118.0	12765.0
119.0	13608.0
120.0	14467.0
121.0	15205.0
122.0	15727.0
123.0	16283.0
124.0	17149.0
125.0	17795.0
126.0	18413.0
127.0	19368.0
128.0	19929.0
129.0	21181.0
130.0	21499.0
131.0	22236.0
132.0	22903.0
133.0	23715.0
134.0	24369.0
135.0	24731.0
136.0	25641.0
137.0	26066.0
138.0	26804.0
139.0	27588.0
140.0	28288.0
141.0	29076.0
142.0	29324.0
143.0	30015.0
144.0	30623.0
145.0	31233.0
146.0	31971.0
147.0	32414.0
148.0	32881.0
149.0	33290.0
150.0	33692.0
151.0	34151.0
152.0	34688.0
153.0	34734.0
154.0	35581.0
155.0	35665.0
156.0	36292.0
157.0	36270.0
158.0	36988.0
159.0	37084.0
160.0	37399.0
161.0	37986.0
162.0	38166.0
163.0	37994.0
164.0	38623.0
165.0	38875.0
166.0	38603.0
167.0	38917.0
168.0	39089.0
169.0	39001.0
170.0	39454.0
171.0	39721.0
172.0	39834.0
173.0	39757.0
174.0	39414.0
175.0	39792.0
176.0	39373.0
177.0	39773.0
178.0	39653.0
179.0	39442.0
180.0	39547.0
181.0	39457.0
182.0	39424.0
183.0	39360.0
184.0	39306.0
185.0	38724.0
186.0	39418.0
187.0	38308.0
188.0	38676.0
189.0	38716.0
190.0	38398.0
191.0	37753.0
192.0	37977.0
193.0	38003.0
194.0	37731.0
195.0	37463.0
196.0	37135.0
197.0	36910.0
198.0	36998.0
199.0	35874.0
200.0	36635.0
201.0	36141.0
202.0	35370.0
203.0	35356.0
204.0	35464.0
205.0	35142.0
206.0	34758.0
207.0	34201.0
208.0	33958.0
209.0	33608.0
210.0	33687.0
211.0	33315.0
212.0	33093.0
213.0	32584.0
214.0	32489.0
215.0	32109.0
216.0	32195.0
217.0	31264.0
218.0	31092.0
219.0	30916.0
220.0	30742.0
221.0	30322.0
222.0	29759.0
223.0	29655.0
224.0	29685.0
225.0	29382.0
226.0	29086.0
227.0	28686.0
228.0	27932.0
229.0	27974.0
230.0	27560.0
231.0	27588.0
232.0	27286.0
233.0	26835.0
234.0	26145.0
235.0	26087.0
236.0	25989.0
237.0	25811.0
238.0	25518.0
239.0	25239.0
240.0	24685.0
241.0	24643.0
242.0	24051.0
243.0	23700.0
244.0	23528.0
245.0	23436.0
246.0	23198.0
247.0	22761.0
248.0	22662.0
249.0	22182.0
250.0	21937.0
251.0	21860.0
252.0	21567.0
253.0	21175.0
254.0	20953.0
255.0	20792.0
256.0	20440.0
257.0	20200.0
258.0	20343.0
259.0	19899.0
260.0	19397.0
261.0	19245.0
262.0	18853.0
263.0	18804.0
264.0	18511.0
265.0	18260.0
266.0	18076.0
267.0	17789.0
268.0	17473.0
269.0	17571.0
270.0	17244.0
271.0	16966.0
272.0	16865.0
273.0	16634.0
274.0	16328.0
275.0	16181.0
276.0	15682.0
277.0	15645.0
278.0	15529.0
279.0	15311.0
280.0	14907.0
281.0	15029.0
282.0	14720.0
283.0	14592.0
284.0	14353.0
285.0	14202.0
286.0	13745.0
287.0	13768.0
288.0	13743.0
289.0	13441.0
290.0	13216.0
291.0	13072.0
292.0	13062.0
293.0	12794.0
294.0	12751.0
295.0	12469.0
296.0	12178.0
297.0	12135.0
298.0	11869.0
299.0	11703.0
300.0	11727.0
301.0	11427.0
302.0	11457.0
303.0	11207.0
304.0	11026.0
305.0	10855.0
306.0	10851.0
307.0	10498.0
308.0	10451.0
309.0	10270.0
310.0	10296.0
311.0	9984.0
312.0	10133.0
313.0	9777.0
314.0	9708.0
315.0	9571.0
316.0	9269.0
317.0	9061.0
318.0	9033.0
319.0	9061.0
320.0	9095.0
321.0	8691.0
322.0	8658.0
323.0	8714.0
324.0	8570.0
325.0	8212.0
326.0	8111.0
327.0	8054.0
328.0	7893.0
329.0	7913.0
330.0	7741.0
331.0	7578.0
332.0	7568.0
333.0	7375.0
334.0	7339.0
335.0	7294.0
336.0	7091.0
337.0	7162.0
338.0	6916.0
339.0	6917.0
340.0	6732.0
341.0	6772.0
342.0	6564.0
343.0	6451.0
344.0	6437.0
345.0	6323.0
346.0	6247.0
347.0	6167.0
348.0	5997.0
349.0	5922.0
350.0	5778.0
351.0	5929.0
352.0	5698.0
353.0	5639.0
354.0	5639.0
355.0	5444.0
356.0	5510.0
357.0	5366.0
358.0	5258.0
359.0	5116.0
360.0	5078.0
361.0	5079.0
362.0	4864.0
363.0	4843.0
364.0	4961.0
365.0	4821.0
366.0	4671.0
367.0	4658.0
368.0	4571.0
369.0	4472.0
370.0	4500.0
371.0	4595.0
372.0	4433.0
373.0	4277.0
374.0	4268.0
375.0	4075.0
376.0	4162.0
377.0	3931.0
378.0	3964.0
379.0	3914.0
380.0	3825.0
381.0	3842.0
382.0	3777.0
383.0	3723.0
384.0	3814.0
385.0	3759.0
386.0	3618.0
387.0	3582.0
388.0	3386.0
389.0	3277.0
390.0	3465.0
391.0	3418.0
392.0	3205.0
393.0	3162.0
394.0	3171.0
395.0	3048.0
396.0	3120.0
397.0	3052.0
398.0	2984.0
399.0	3062.0
400.0	3013.0
401.0	2924.0
402.0	2940.0
403.0	2861.0
404.0	2776.0
405.0	2828.0
406.0	2731.0
407.0	2659.0
408.0	2604.0
409.0	2572.0
410.0	2579.0
411.0	2493.0
412.0	2424.0
413.0	2495.0
414.0	2355.0
415.0	2414.0
416.0	2334.0
417.0	2280.0
418.0	2242.0
419.0	2187.0
420.0	2230.0
421.0	2174.0
422.0	2235.0
423.0	2123.0
424.0	2146.0
425.0	2101.0
426.0	2018.0
427.0	2019.0
428.0	2018.0
429.0	1940.0
430.0	1945.0
431.0	1914.0
432.0	1916.0
433.0	1876.0
434.0	1868.0
435.0	1871.0
436.0	1832.0
437.0	1752.0
438.0	1742.0
439.0	1737.0
440.0	1638.0
441.0	1668.0
442.0	1625.0
443.0	1599.0
444.0	1576.0
445.0	1576.0
446.0	1515.0
447.0	1581.0
448.0	1470.0
449.0	1527.0
450.0	1466.0
451.0	1390.0
452.0	1404.0
453.0	1412.0
454.0	1429.0
455.0	1380.0
456.0	1332.0
457.0	1285.0
458.0	1276.0
459.0	1315.0
460.0	1312.0
461.0	1230.0
462.0	1256.0
463.0	1251.0
464.0	1225.0
465.0	1226.0
466.0	1139.0
467.0	1176.0
468.0	1196.0
469.0	1123.0
470.0	1138.0
471.0	1064.0
472.0	1151.0
473.0	1076.0
474.0	1038.0
475.0	1103.0
476.0	1019.0
477.0	1016.0
478.0	989.0
479.0	978.0
480.0	1004.0
481.0	937.0
482.0	939.0
483.0	987.0
484.0	900.0
485.0	912.0
486.0	927.0
487.0	906.0
488.0	908.0
489.0	871.0
490.0	874.0
491.0	830.0
492.0	876.0
493.0	884.0
494.0	825.0
495.0	836.0
496.0	774.0
497.0	775.0
498.0	778.0
499.0	763.0
500.0	767.0
501.0	744.0
502.0	755.0
503.0	726.0
504.0	750.0
505.0	707.0
506.0	702.0
507.0	697.0
508.0	654.0
509.0	679.0
510.0	686.0
511.0	671.0
512.0	615.0
513.0	688.0
514.0	643.0
515.0	649.0
516.0	620.0
517.0	607.0
518.0	607.0
519.0	592.0
520.0	562.0
521.0	593.0
522.0	572.0
523.0	595.0
524.0	607.0
525.0	603.0
526.0	573.0
527.0	558.0
528.0	540.0
529.0	529.0
530.0	567.0
531.0	518.0
532.0	507.0
533.0	522.0
534.0	510.0
535.0	465.0
536.0	490.0
