#Insert size (bp)	insert size
393.0	5660.0
394.0	5641.0
395.0	5667.0
396.0	5399.0
397.0	5356.0
398.0	5477.0
399.0	5288.0
400.0	5205.0
401.0	5182.0
402.0	4979.0
403.0	4987.0
404.0	4972.0
405.0	4961.0
406.0	4688.0
407.0	4800.0
408.0	4564.0
409.0	4713.0
410.0	4516.0
411.0	4456.0
412.0	4399.0
413.0	4363.0
414.0	4238.0
415.0	4132.0
416.0	4157.0
417.0	4215.0
418.0	4086.0
419.0	4023.0
420.0	3942.0
421.0	3883.0
422.0	3851.0
423.0	3718.0
424.0	3673.0
425.0	3614.0
426.0	3678.0
427.0	3631.0
428.0	3513.0
429.0	3415.0
430.0	3425.0
431.0	3458.0
432.0	3314.0
433.0	3345.0
434.0	3237.0
435.0	3139.0
436.0	3087.0
437.0	3065.0
438.0	3115.0
439.0	3033.0
440.0	2881.0
441.0	2963.0
442.0	2845.0
443.0	2885.0
444.0	2772.0
445.0	2735.0
446.0	2729.0
447.0	2718.0
448.0	2738.0
449.0	2682.0
450.0	2663.0
451.0	2526.0
452.0	2412.0
453.0	2420.0
454.0	2383.0
455.0	2373.0
456.0	2341.0
457.0	2334.0
458.0	2202.0
459.0	2275.0
460.0	2389.0
461.0	2221.0
462.0	2135.0
463.0	2179.0
464.0	2151.0
465.0	2103.0
466.0	2066.0
467.0	2022.0
468.0	2042.0
469.0	1899.0
470.0	1986.0
471.0	1947.0
472.0	1929.0
473.0	1937.0
474.0	1831.0
475.0	1903.0
476.0	1772.0
477.0	1775.0
478.0	1731.0
479.0	1783.0
480.0	1742.0
481.0	1696.0
482.0	1616.0
483.0	1660.0
484.0	1635.0
485.0	1561.0
486.0	1575.0
487.0	1466.0
488.0	1541.0
489.0	1498.0
490.0	1435.0
491.0	1464.0
492.0	1457.0
493.0	1460.0
494.0	1404.0
495.0	1448.0
496.0	1353.0
497.0	1353.0
498.0	1328.0
499.0	1308.0
500.0	1249.0
501.0	1263.0
502.0	1256.0
503.0	1195.0
504.0	1212.0
505.0	1152.0
506.0	1167.0
507.0	1190.0
508.0	1164.0
509.0	1171.0
510.0	1148.0
511.0	1079.0
512.0	1057.0
513.0	1079.0
514.0	1066.0
515.0	1084.0
516.0	1003.0
517.0	1047.0
518.0	969.0
519.0	957.0
520.0	960.0
521.0	958.0
522.0	936.0
523.0	949.0
524.0	954.0
525.0	906.0
526.0	919.0
527.0	877.0
528.0	853.0
529.0	912.0
530.0	858.0
531.0	853.0
532.0	830.0
533.0	832.0
534.0	828.0
535.0	811.0
536.0	834.0
537.0	802.0
538.0	822.0
539.0	747.0
540.0	792.0
541.0	776.0
542.0	717.0
